Qubit,suggest_single_qubit_gate_depolar_prob,suggest_two_qubit_gate_depolar_prob,suggest_measure_time_ns
0,0.0001014625740645,,1244.4444444444443
1,0.0002693288054891,0.010160009849132137,1244.4444444444443
2,0.0002147287462396,,1244.4444444444443
3,0.0003536797904471,0.006434373468296478,1244.4444444444443
4,0.0001904487035378,0.007113962905950982,1244.4444444444443
5,0.0002476066920932,0.006052999631729616,1244.4444444444443
6,0.0001442334542558,0.004115365247715108,1244.4444444444443
7,0.0003019540961607,0.006320021437301135,1244.4444444444443
8,0.0001741705803771,0.0052665666681881995,1244.4444444444443
9,0.0001768745925571,,1244.4444444444443
10,0.0002431360958683,0.00846317296462172,1244.4444444444443
11,0.0001526567668002,0.005288273404450733,1244.4444444444443
12,0.0001854403888317,0.008507865239330753,1244.4444444444443
13,0.0001710072030681,,1244.4444444444443
14,0.0007719994573571,0.007047141833638873,1244.4444444444443
15,0.0001267818640599,,1244.4444444444443
16,0.0001839190599196,0.003971323527449611,1244.4444444444443
17,0.0005356038718033,0.0062681434349137755,1244.4444444444443
18,0.0003243336541912,0.01002984266860621,1244.4444444444443
19,0.0001741541184956,0.007861074386066702,1244.4444444444443
20,0.0001863458915832,0.008643731227374107,1244.4444444444443
21,0.0010024619245613,0.009829512248993102,1244.4444444444443
22,0.0002308026659131,0.052234105199302855,1244.4444444444443
23,0.0001978696987364,0.008665644470203834,1244.4444444444443
24,0.0001525777637706,,1244.4444444444443
25,0.0001371011234692,0.0036198047964901836,1244.4444444444443
26,0.0001636719323603,0.005912271836283595,1244.4444444444443
27,0.0001489671069134,,1244.4444444444443
28,0.0003994973803218,0.007448945764931436,1244.4444444444443
29,0.0002605368264685,0.00788251051883225,1244.4444444444443
30,0.000111509203579,,1244.4444444444443
31,0.0005080421488089,0.008151763374203244,1244.4444444444443
32,0.0003921460892167,0.0072706701269280305,1244.4444444444443
33,0.0001761080672569,0.00429182894425173,1244.4444444444443
34,0.0003151495822085,0.006389096302855862,1244.4444444444443
35,0.0001380668468275,0.008596427278145274,1244.4444444444443
36,0.0001372332564884,0.004323508837339035,1244.4444444444443
37,0.0003309707102568,0.009599329814790891,1244.4444444444443
38,0.0002216097437677,0.011409309640413173,1244.4444444444443
39,0.0001153926862999,,1244.4444444444443
40,0.0009998198827678,0.022117774208311375,1244.4444444444443
41,0.0001483933008097,0.01224120834236296,1244.4444444444443
42,9.81348583812e-05,0.004811477833545685,1244.4444444444443
43,0.0001665171084164,0.0081957524041128,1244.4444444444443
44,0.0001727591920271,,1244.4444444444443
45,0.0001407487011919,0.005888726138187569,1244.4444444444443
46,0.0003310517810031,,1244.4444444444443
47,0.0001879615263638,0.0055269413955002095,1244.4444444444443
48,0.000211004989094,,1244.4444444444443
49,0.0002134825638296,0.006442014099484986,1244.4444444444443
50,0.0003061015175105,0.005623290435859657,1244.4444444444443
51,0.0001976455454762,,1244.4444444444443
52,0.0016130906141139,0.01887936166263962,1244.4444444444443
53,0.0001532218651323,0.004988732413593683,1244.4444444444443
54,0.0001907492360188,0.00640544520127978,1244.4444444444443
55,0.0001952303593798,0.006797564928581773,1244.4444444444443
56,0.000325166480622,1.0,1244.4444444444443
57,0.0007351064911376,0.015502534599573237,1244.4444444444443
58,0.0004018054206771,,1244.4444444444443
59,0.0001415130510004,0.007551808111165181,1244.4444444444443
60,0.0001080981140019,,1244.4444444444443
61,0.0002531337273076,0.008557037013122451,1244.4444444444443
62,0.0003617779916198,,1244.4444444444443
63,0.0061866065250474,1.0,1244.4444444444443
64,0.0001833604117784,0.007144296312634843,1244.4444444444443
65,0.0002538350196522,,1244.4444444444443
66,0.0002142569278936,0.006361840589011819,1244.4444444444443
67,0.0044808284650338,1.0,1244.4444444444443
68,0.0002093353791995,0.5044509501911721,1244.4444444444443
69,0.0002413330868495,0.008712773008713287,1244.4444444444443
70,0.0008366146925056,,1244.4444444444443
71,0.0007208919359352,0.007311306514433874,1244.4444444444443
72,0.0001096457049055,0.007885804995802798,1244.4444444444443
73,0.0001642150291391,0.006072380855412854,1244.4444444444443
74,0.0001717786507827,0.006722000333977685,1244.4444444444443
75,0.0002298265883235,0.01242454327503656,1244.4444444444443
76,0.0003970412420556,,1244.4444444444443
77,0.0001428020905564,0.01404971183751011,1244.4444444444443
78,0.0002383262742797,0.006848208343707071,1244.4444444444443
79,0.0005305770608758,0.009498680617837041,1244.4444444444443
80,0.000372877437801,0.011513343291440839,1244.4444444444443
81,0.0001982307845068,0.010613430552384118,1244.4444444444443
82,0.0001120035492767,0.0044359215040273015,1244.4444444444443
83,0.0003340560043417,,1244.4444444444443
84,0.0001211919706645,0.006277095366931523,1244.4444444444443
85,0.0002204874802817,0.0047634295592274,1244.4444444444443
86,0.0004804580631329,0.009586732222853334,1244.4444444444443
87,0.0001818397771198,0.006717277593287552,1244.4444444444443
88,0.0006140115285728,,1244.4444444444443
89,0.0003227009899102,0.007638903256248705,1244.4444444444443
90,0.0004843239880812,0.012731220138368221,1244.4444444444443
91,0.0001102923958142,,1244.4444444444443
92,0.0002355029811566,0.007548820690679997,1244.4444444444443
93,0.0002649078478231,0.007482302140429609,1244.4444444444443
94,0.0001188095700376,,1244.4444444444443
95,0.0005068967087177,0.0073067064019415595,1244.4444444444443
96,0.0001657612844813,,1244.4444444444443
97,0.0010007143931788,0.008737474473002244,1244.4444444444443
98,0.0001551723422756,0.004933122412974389,1244.4444444444443
99,0.0002233653666247,0.007786260212448895,1244.4444444444443
100,0.0002380446299907,,1244.4444444444443
101,0.0001780967961225,0.006782381923890357,1244.4444444444443
102,0.0002933179907388,0.0070905380293250775,1244.4444444444443
103,0.0002503828031536,,1244.4444444444443
104,0.0002127857414906,0.005636754822837875,1244.4444444444443
105,0.0002066720239049,0.006757144730857395,1244.4444444444443
106,0.0001942331736913,0.00467525615967293,1244.4444444444443
107,0.0003756778958358,0.0075873973967701125,1244.4444444444443
108,0.0003434855815547,,1244.4444444444443
109,0.0002393083936306,0.005089815850133544,1244.4444444444443
110,0.0002751992283947,0.007098559227195489,1244.4444444444443
111,0.0002080002405205,0.006793595072624087,1244.4444444444443
112,0.0002892660307978,0.005719868086495453,1244.4444444444443
113,0.0001863654435526,0.0042267975645017,1244.4444444444443
114,0.0001311973795935,0.009086423154583911,1244.4444444444443
115,0.0004716541886149,,1244.4444444444443
116,0.000204127332859,0.012675783543652869,1244.4444444444443
117,0.0006278911673261,0.010052016161942373,1244.4444444444443
118,0.000196108365986,,1244.4444444444443
119,0.0007417038627941,0.007414760400891673,1244.4444444444443
120,0.0001669067618211,0.0066366617543272,1244.4444444444443
121,0.000224707817504,0.006990745606336279,1244.4444444444443
122,0.0003825132587367,0.009104784747428846,1244.4444444444443
123,0.0002942189794132,0.01025634967611444,1244.4444444444443
124,0.0001630240118605,0.005026609778357866,1244.4444444444443
125,0.0001940787067296,0.00486327060102304,1244.4444444444443
126,0.0003119891717866,0.004838804572710215,1244.4444444444443
-1,0.0002147287462396,0.007288688264434795,1244.4444444444443
