,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,carbon_init
0,0,5.538922,0.8,4.4311376000000005,0,0,0,1,140000.0
1,1,5.608922,1.0,5.608922,0,0,0,1,175000.0
2,2,5.67892,0.7,3.9752439999999996,1,1,0,1,210000.0
3,3,5.748919,0.5,2.8744595,0,1,1,0,245000.0
4,4,5.8189210000000005,0.5,2.9094605000000002,0,1,0,1,280000.0
5,5,5.888922,1.0,5.888922,1,1,0,0,315000.0
6,6,5.958919,0.7,4.1712432999999995,0,0,0,1,350000.0
7,7,6.028919,0.8,4.8231352,0,0,0,0,385000.0
8,8,6.098922,0.7,4.2692454,0,1,0,1,420000.0
9,9,6.168918,0.4,2.4675672,1,1,1,0,455000.0
10,10,6.2389209999999995,0.4,2.4955684,0,1,1,1,490000.0
11,11,6.308919,0.6,3.7853514,0,0,1,0,525000.0
12,12,6.378925000000001,0.7,4.4652475,1,0,1,0,560000.0
13,13,6.448921,0.8,5.159136800000001,0,1,0,1,595000.0
14,14,6.518917999999999,0.6,3.9113507999999992,0,1,1,0,630000.0
15,15,6.588921999999999,0.6,3.9533531999999996,0,0,1,0,665000.0
