,id,exec_per_sec,succ_rate,succ_per_sec,carbon_z_rot_depolar_prob
0,0,2.92945993,0.64,1.8748543552,0.001
1,1,2.92946006,0.65,1.904149039,0.0012000000000000001
2,2,2.92945983,0.62,1.8162650945999999,0.0014000000000000002
3,3,2.9294600799999997,0.66,1.9334436527999999,0.0016000000000000003
4,4,2.92946032,0.6,1.757676192,0.0018000000000000004
5,5,2.9294602100000002,0.61,1.7869707281,0.0020000000000000005
6,6,2.9294600099999997,0.63,1.8455598062999998,0.0022000000000000006
7,7,2.9294599800000003,0.63,1.8455597874000003,0.0024000000000000007
8,8,2.9294599800000003,0.63,1.8455597874000003,0.0026000000000000007
9,9,2.92946007,0.61,1.7869706427,0.002800000000000001
10,10,2.92945999,0.63,1.8455597937,0.003000000000000001
11,11,2.92945993,0.62,1.8162651566,0.003200000000000001
12,12,2.92945982,0.63,1.8455596866,0.003400000000000001
13,13,2.9294601499999997,0.64,1.8748544959999998,0.003600000000000001
14,14,2.92945993,0.63,1.8455597559,0.0038000000000000013
15,15,2.9294601499999997,0.63,1.8455598944999998,0.004000000000000002
16,16,2.92945994,0.64,1.8748543616000002,0.0042000000000000015
17,17,2.92945999,0.62,1.8162651937999998,0.004400000000000001
18,18,2.9294600500000003,0.66,1.9334436330000002,0.004600000000000002
19,19,2.92946017,0.62,1.8162653054,0.004800000000000002
