,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,electron_single_qubit_depolar_prob
0,0,5.858918,0.6,3.5153507999999998,1,0,1,1,0.004
1,1,5.858919,0.2,1.1717838,0,1,1,1,0.00408
2,2,5.8589199999999995,0.7,4.1012439999999994,0,0,1,1,0.0041600000000000005
3,3,5.8589199999999995,0.7,4.1012439999999994,1,1,1,0,0.004240000000000001
4,4,5.8589210000000005,0.6,3.5153526000000004,1,1,1,1,0.004320000000000001
5,5,5.858919,0.8,4.6871352,0,0,1,0,0.004400000000000001
6,6,5.8589210000000005,0.7,4.1012447000000005,1,0,1,1,0.004480000000000001
7,7,5.8589210000000005,0.5,2.9294605000000002,1,0,0,0,0.0045600000000000016
8,8,5.8589210000000005,0.6,3.5153526000000004,0,0,1,0,0.004640000000000002
9,9,5.8589199999999995,0.4,2.343568,0,1,1,1,0.004720000000000002
10,10,5.858918,0.9,5.2730262,0,0,0,1,0.004800000000000002
11,11,5.8589210000000005,0.5,2.9294605000000002,0,1,0,1,0.004880000000000002
12,12,5.858918,0.7,4.1012426,0,0,1,1,0.004960000000000003
13,13,5.8589199999999995,0.8,4.687136,0,1,0,1,0.005040000000000003
14,14,5.8589210000000005,0.9,5.273028900000001,0,0,1,1,0.005120000000000003
15,15,5.8589210000000005,0.8,4.6871368,0,1,1,1,0.005200000000000003
16,16,5.8589199999999995,0.5,2.9294599999999997,0,0,0,0,0.0052800000000000034
17,17,5.8589210000000005,0.8,4.6871368,1,0,0,1,0.005360000000000004
18,18,5.8589199999999995,0.4,2.343568,0,0,0,0,0.005440000000000004
19,19,5.8589199999999995,0.6,3.5153519999999996,0,0,0,1,0.005520000000000004
20,20,5.858922,0.6,3.5153532,1,1,0,1,0.005600000000000004
21,21,5.858919,0.6,3.5153514,0,1,0,0,0.0056800000000000045
22,22,5.858919,0.6,3.5153514,1,0,0,0,0.005760000000000005
23,23,5.8589199999999995,0.7,4.1012439999999994,0,1,1,0,0.005840000000000005
24,24,5.858919,0.6,3.5153514,0,0,1,0,0.005920000000000005
25,25,5.858922,0.4,2.3435688,0,0,1,1,0.006000000000000005
26,26,5.8589210000000005,0.5,2.9294605000000002,1,0,0,1,0.0060800000000000055
27,27,5.858917,0.8,4.6871336,1,0,0,1,0.006160000000000006
28,28,5.8589210000000005,0.7,4.1012447000000005,0,0,1,0,0.006240000000000006
29,29,5.8589210000000005,0.8,4.6871368,1,0,0,1,0.006320000000000006
30,30,5.858918,0.5,2.929459,0,0,0,1,0.006400000000000006
31,31,5.8589210000000005,0.6,3.5153526000000004,0,0,1,0,0.006480000000000007
32,32,5.858919,0.5,2.9294595,1,1,1,1,0.006560000000000007
33,33,5.858922,0.3,1.7576766,0,1,0,1,0.006640000000000007
34,34,5.858919,0.5,2.9294595,0,0,0,1,0.006720000000000007
35,35,5.8589199999999995,0.6,3.5153519999999996,0,1,1,0,0.006800000000000007
36,36,5.8589199999999995,0.6,3.5153519999999996,0,0,1,1,0.006880000000000008
37,37,5.8589210000000005,0.4,2.3435684,0,1,0,0,0.006960000000000008
38,38,5.8589210000000005,0.5,2.9294605000000002,1,0,1,1,0.007040000000000008
39,39,5.8589210000000005,0.4,2.3435684,1,1,0,0,0.007120000000000008
40,40,5.8589210000000005,0.6,3.5153526000000004,1,1,1,0,0.0072000000000000085
41,41,5.8589199999999995,0.8,4.687136,0,1,1,0,0.007280000000000009
42,42,5.8589210000000005,0.9,5.273028900000001,0,0,0,1,0.007360000000000009
43,43,5.8589199999999995,0.6,3.5153519999999996,1,1,1,1,0.007440000000000009
44,44,5.858919,0.5,2.9294595,0,0,0,1,0.007520000000000009
45,45,5.858919,0.4,2.3435676,1,1,0,0,0.0076000000000000095
46,46,5.858919,0.9,5.2730271,0,0,1,0,0.00768000000000001
47,47,5.858919,0.5,2.9294595,1,1,0,1,0.00776000000000001
48,48,5.858919,0.5,2.9294595,0,1,1,1,0.00784000000000001
49,49,5.8589199999999995,0.5,2.9294599999999997,1,0,0,0,0.00792000000000001
50,50,5.858918,0.5,2.929459,1,0,0,0,0.00800000000000001
51,51,5.858919,0.7,4.1012433,0,1,0,1,0.00808000000000001
52,52,5.8589210000000005,0.4,2.3435684,1,1,0,0,0.008160000000000011
53,53,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.008240000000000011
54,54,5.8589210000000005,0.5,2.9294605000000002,1,0,0,0,0.008320000000000011
55,55,5.858919,0.6,3.5153514,1,1,0,0,0.008400000000000012
56,56,5.858923,0.7,4.1012461,0,0,1,0,0.008480000000000012
57,57,5.8589210000000005,0.7,4.1012447000000005,1,0,1,0,0.008560000000000012
58,58,5.858918,0.9,5.2730262,1,1,1,1,0.008640000000000012
59,59,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.008720000000000012
60,60,5.858922,0.6,3.5153532,1,1,1,1,0.008800000000000013
61,61,5.858922,0.4,2.3435688,1,0,0,1,0.008880000000000013
62,62,5.8589210000000005,0.4,2.3435684,1,1,1,1,0.008960000000000013
63,63,5.8589210000000005,0.7,4.1012447000000005,0,0,1,1,0.009040000000000013
64,64,5.8589210000000005,0.7,4.1012447000000005,0,0,0,0,0.009120000000000014
65,65,5.8589199999999995,0.6,3.5153519999999996,0,0,0,0,0.009200000000000014
66,66,5.8589210000000005,0.7,4.1012447000000005,0,1,0,0,0.009280000000000014
67,67,5.858922,0.6,3.5153532,1,1,0,1,0.009360000000000014
68,68,5.8589199999999995,0.7,4.1012439999999994,0,1,1,0,0.009440000000000014
69,69,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.009520000000000015
70,70,5.8589210000000005,0.5,2.9294605000000002,1,0,0,0,0.009600000000000015
71,71,5.858918,0.7,4.1012426,1,0,0,1,0.009680000000000015
72,72,5.8589199999999995,0.6,3.5153519999999996,0,0,1,1,0.009760000000000015
73,73,5.8589199999999995,0.5,2.9294599999999997,0,0,1,0,0.009840000000000015
74,74,5.858922,0.4,2.3435688,0,0,1,0,0.009920000000000016
75,75,5.858918,0.7,4.1012426,0,0,1,0,0.010000000000000016
76,76,5.8589199999999995,0.5,2.9294599999999997,1,0,1,0,0.010080000000000016
77,77,5.858918,0.5,2.929459,0,0,0,0,0.010160000000000016
78,78,5.858923,0.9,5.2730307,0,0,1,0,0.010240000000000016
79,79,5.8589210000000005,0.7,4.1012447000000005,0,1,0,0,0.010320000000000017
80,80,5.8589199999999995,0.8,4.687136,1,0,1,1,0.010400000000000017
81,81,5.858919,0.8,4.6871352,1,0,0,1,0.010480000000000017
82,82,5.858918,0.6,3.5153507999999998,0,0,0,1,0.010560000000000017
83,83,5.8589199999999995,0.8,4.687136,0,1,0,0,0.010640000000000017
84,84,5.858917,0.6,3.5153502,0,0,1,0,0.010720000000000018
85,85,5.858916,0.8,4.6871328,1,1,0,0,0.010800000000000018
86,86,5.858919,0.5,2.9294595,0,0,1,0,0.010880000000000018
87,87,5.8589199999999995,1.0,5.8589199999999995,0,0,1,1,0.010960000000000018
88,88,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.011040000000000019
89,89,5.858918,0.7,4.1012426,1,1,1,1,0.011120000000000019
90,90,5.858919,0.6,3.5153514,1,1,1,1,0.011200000000000019
91,91,5.858923,0.6,3.5153537999999998,1,0,1,0,0.01128000000000002
92,92,5.858919,0.7,4.1012433,0,0,1,1,0.01136000000000002
93,93,5.858922,0.7,4.1012454,1,1,1,0,0.01144000000000002
94,94,5.858918,0.9,5.2730262,1,1,1,0,0.01152000000000002
95,95,5.8589199999999995,0.3,1.7576759999999998,0,0,1,1,0.01160000000000002
96,96,5.858919,0.8,4.6871352,1,0,0,0,0.01168000000000002
97,97,5.8589210000000005,0.9,5.273028900000001,0,0,0,0,0.01176000000000002
98,98,5.8589210000000005,0.3,1.7576763000000002,0,0,1,1,0.01184000000000002
99,99,5.8589210000000005,0.8,4.6871368,1,1,0,0,0.01192000000000002
100,100,5.8589199999999995,0.4,2.343568,1,1,0,0,0.012000000000000021
101,101,5.858916,0.9,5.2730244,1,0,1,1,0.012080000000000021
102,102,5.858923,0.4,2.3435692,0,0,1,1,0.012160000000000021
103,103,5.858919,0.6,3.5153514,0,0,1,1,0.012240000000000022
104,104,5.8589210000000005,0.6,3.5153526000000004,0,1,1,1,0.012320000000000022
105,105,5.8589210000000005,0.7,4.1012447000000005,0,1,1,0,0.012400000000000022
106,106,5.858922,0.6,3.5153532,1,0,1,1,0.012480000000000022
107,107,5.8589210000000005,0.5,2.9294605000000002,0,0,1,0,0.012560000000000023
108,108,5.858918,0.6,3.5153507999999998,0,1,0,0,0.012640000000000023
109,109,5.858925,0.7,4.1012474999999995,0,1,0,0,0.012720000000000023
110,110,5.858917,0.7,4.1012419,1,0,1,1,0.012800000000000023
