,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,ec_gate_depolar_prob
27,27,5.858922,0.7,4.1012454,0,0,0,1,0.03850000000000001
28,28,5.858922,0.7,4.1012454,0,0,1,1,0.039000000000000014
29,29,5.8589199999999995,0.8,4.687136,0,0,1,0,0.039500000000000014
30,30,5.8589199999999995,0.8,4.687136,1,0,1,0,0.040000000000000015
31,31,5.8589199999999995,0.7,4.1012439999999994,0,1,1,1,0.040500000000000015
32,32,5.858919,0.6,3.5153514,1,1,1,0,0.041000000000000016
33,33,5.858918,0.6,3.5153507999999998,1,0,1,1,0.041500000000000016
34,34,5.858918,0.4,2.3435672000000003,1,1,1,0,0.042000000000000016
35,35,5.8589199999999995,0.9,5.273028,1,1,0,0,0.04250000000000002
36,36,5.858918,0.6,3.5153507999999998,0,0,1,0,0.04300000000000002
37,37,5.8589199999999995,0.5,2.9294599999999997,0,0,0,0,0.04350000000000002
38,38,5.8589199999999995,0.6,3.5153519999999996,1,1,1,1,0.04400000000000002
39,39,5.858916,0.8,4.6871328,0,0,0,0,0.04450000000000002
40,40,5.8589210000000005,0.6,3.5153526000000004,1,0,0,0,0.04500000000000002
41,41,5.8589199999999995,0.9,5.273028,0,1,0,1,0.04550000000000002
42,42,5.858924,0.7,4.1012468,1,1,1,1,0.04600000000000002
43,43,5.858923,0.8,4.6871384,1,1,1,1,0.04650000000000002
44,44,5.8589210000000005,0.5,2.9294605000000002,0,0,1,1,0.04700000000000002
45,45,5.8589210000000005,0.5,2.9294605000000002,1,0,0,1,0.04750000000000002
46,46,5.8589210000000005,0.9,5.273028900000001,0,0,0,1,0.04800000000000002
47,47,5.858919,0.6,3.5153514,0,0,0,1,0.04850000000000002
48,48,5.8589210000000005,0.6,3.5153526000000004,1,0,1,0,0.04900000000000002
49,49,5.858918,0.8,4.687134400000001,0,0,1,1,0.04950000000000002
50,50,5.8589210000000005,0.8,4.6871368,0,0,1,0,0.050000000000000024
51,51,5.8589199999999995,0.4,2.343568,0,0,1,1,0.050500000000000024
52,52,5.858917,0.7,4.1012419,1,0,1,0,0.051000000000000024
53,53,5.8589210000000005,0.8,4.6871368,1,1,1,1,0.051500000000000025
54,54,5.858915,0.8,4.687132,1,1,0,1,0.052000000000000025
55,55,5.8589199999999995,0.7,4.1012439999999994,1,0,1,0,0.052500000000000026
56,56,5.8589199999999995,0.5,2.9294599999999997,0,0,0,1,0.053000000000000026
57,57,5.8589210000000005,0.5,2.9294605000000002,1,1,0,0,0.05350000000000003
58,58,5.8589210000000005,0.6,3.5153526000000004,0,0,0,1,0.05400000000000003
59,59,5.858919,0.8,4.6871352,1,0,0,0,0.05450000000000003
60,60,5.8589199999999995,0.7,4.1012439999999994,0,1,0,1,0.05500000000000003
61,61,5.858922,0.5,2.929461,0,1,1,0,0.05550000000000003
62,62,5.858919,0.7,4.1012433,1,1,1,0,0.05600000000000003
63,63,5.858919,0.8,4.6871352,0,0,1,0,0.05650000000000003
64,64,5.8589199999999995,0.7,4.1012439999999994,1,0,1,0,0.05700000000000003
65,65,5.858919,0.8,4.6871352,1,1,1,0,0.05750000000000003
66,66,5.858918,0.6,3.5153507999999998,1,1,1,0,0.05800000000000003
67,67,5.8589199999999995,0.4,2.343568,1,1,1,1,0.05850000000000003
68,68,5.858919,0.5,2.9294595,1,0,0,0,0.05900000000000003
69,69,5.8589199999999995,0.8,4.687136,1,0,0,1,0.05950000000000003
70,70,5.858919,0.5,2.9294595,1,0,1,1,0.06000000000000003
71,71,5.8589199999999995,0.4,2.343568,1,0,1,1,0.06050000000000003
72,72,5.858919,0.6,3.5153514,0,0,1,1,0.06100000000000003
