,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,electron_init
0,0,5.856921,0.7,4.099844699999999,1,0,0,1,1000.0
1,1,5.856969,0.4,2.3427876000000003,1,0,1,1,1025.0
2,2,5.857018999999999,0.8,4.6856152,1,0,1,1,1050.0
3,3,5.8570720000000005,0.9,5.271364800000001,1,1,0,0,1075.0
4,4,5.857119,0.4,2.3428476000000003,0,1,0,1,1100.0
5,5,5.857166,0.6,3.5142996,0,1,0,1,1125.0
6,6,5.857221,0.4,2.3428884,0,0,1,0,1150.0
7,7,5.85727,0.6,3.5143619999999998,1,0,0,1,1175.0
8,8,5.857321000000001,0.7,4.1001247,0,0,1,0,1200.0
9,9,5.857371,0.7,4.1001597,0,0,1,1,1225.0
10,10,5.857421,0.4,2.3429684,0,1,1,1,1250.0
11,11,5.85747,0.6,3.514482,1,0,1,1,1275.0
12,12,5.857518000000001,0.9,5.271766200000001,1,0,0,0,1300.0
13,13,5.857571999999999,0.6,3.5145431999999994,0,0,0,0,1325.0
14,14,5.85762,0.6,3.514572,1,1,0,1,1350.0
15,15,5.857670000000001,0.4,2.343068,0,1,0,1,1375.0
16,16,5.857721,0.7,4.1004046999999995,1,1,1,0,1400.0
17,17,5.857773,0.9,5.2719957,1,0,0,0,1425.0
18,18,5.8578209999999995,0.8,4.6862568,1,0,1,1,1450.0
19,19,5.85787,0.5,2.928935,1,0,1,1,1475.0
20,20,5.857922,0.8,4.686337600000001,1,0,1,0,1500.0
21,21,5.857965,0.8,4.686372,1,0,1,0,1525.0
22,22,5.858021,0.6,3.5148126,0,1,0,1,1550.0
23,23,5.85807,0.5,2.929035,0,1,0,0,1575.0
24,24,5.858122,0.4,2.3432488,1,0,1,1,1600.0
25,25,5.858172,0.5,2.929086,1,0,0,0,1625.0
26,26,5.858217,0.7,4.1007519,0,1,0,0,1650.0
27,27,5.858268000000001,0.6,3.5149608000000003,0,0,0,1,1675.0
28,28,5.858317,0.6,3.5149902,0,0,1,1,1700.0
29,29,5.858366999999999,0.6,3.5150201999999995,0,0,0,1,1725.0
