,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,measure_time
0,0,0.58108,0.6,0.348648,0,0,1,1,0.048
1,1,0.58906,0.8,0.47124800000000006,1,1,1,0,0.0492
2,2,0.5837399999999999,0.5,0.29186999999999996,1,1,1,1,0.0504
3,3,0.5837399999999999,0.6,0.35024399999999994,1,0,0,0,0.0516
4,4,0.58108,0.9,0.5229720000000001,0,0,1,1,0.0528
5,5,0.5677800000000001,0.6,0.340668,1,0,0,0,0.054
6,6,0.5864,0.6,0.35184,1,1,1,0,0.0552
7,7,0.5730999999999999,0.7,0.4011699999999999,1,0,0,0,0.0564
8,8,0.59172,0.5,0.29586,0,1,0,1,0.0576
9,9,0.5997,0.8,0.47976,1,1,0,0,0.0588
10,10,0.59704,0.6,0.358224,0,0,1,0,0.06
11,11,0.5730999999999999,0.6,0.34385999999999994,1,0,0,1,0.0612
12,12,0.60236,0.5,0.30118,1,1,0,0,0.0624
13,13,0.58108,0.6,0.348648,0,0,0,1,0.06359999999999999
14,14,0.57842,1.0,0.57842,1,0,1,1,0.0648
15,15,0.59172,0.8,0.473376,1,1,0,0,0.066
16,16,0.5864,0.5,0.2932,0,0,1,0,0.0672
17,17,0.5864,0.8,0.46912000000000004,1,0,0,1,0.06839999999999999
18,18,0.57842,0.7,0.40489400000000003,0,0,1,1,0.0696
19,19,0.57842,0.6,0.347052,1,0,1,0,0.0708
20,20,0.58906,0.5,0.29453,1,1,1,1,0.072
21,21,0.59704,0.7,0.41792799999999997,1,0,1,1,0.07319999999999999
22,22,0.57576,0.6,0.34545600000000004,0,0,1,0,0.0744
23,23,0.5864,0.6,0.35184,1,0,1,1,0.0756
24,24,0.59704,0.8,0.47763200000000006,0,0,1,1,0.0768
25,25,0.58108,0.5,0.29054,0,1,1,0,0.07799999999999999
26,26,0.5864,0.7,0.41048,0,1,0,0,0.07919999999999999
27,27,0.5730999999999999,0.8,0.45848,0,0,0,0,0.0804
28,28,0.58906,0.4,0.23562400000000003,1,1,0,1,0.08159999999999999
29,29,0.59438,0.8,0.47550400000000004,0,0,0,1,0.08279999999999998
30,30,0.5837399999999999,0.6,0.35024399999999994,1,0,1,0,0.08399999999999999
31,31,0.59704,0.5,0.29852,1,1,0,1,0.0852
32,32,0.57576,0.6,0.34545600000000004,0,0,1,0,0.08639999999999999
33,33,0.59172,0.6,0.355032,1,0,1,0,0.08759999999999998
34,34,0.58906,0.3,0.17671800000000001,1,0,1,1,0.08879999999999999
35,35,0.59438,0.6,0.356628,0,1,1,0,0.09
36,36,0.57842,0.6,0.347052,1,1,1,0,0.09119999999999999
37,37,0.58906,0.9,0.530154,0,0,1,0,0.09239999999999998
38,38,0.570441,0.7,0.39930869999999996,0,0,1,0,0.09359999999999999
39,39,0.5864,0.6,0.35184,1,0,0,0,0.0948
40,40,0.57576,0.4,0.23030400000000004,1,1,0,0,0.09599999999999999
41,41,0.59704,0.4,0.23881600000000003,1,0,0,1,0.09719999999999998
42,42,0.58108,0.7,0.406756,1,0,1,1,0.09839999999999999
43,43,0.594381,0.9,0.5349429000000001,1,0,1,1,0.0996
44,44,0.5837410000000001,0.8,0.4669928000000001,1,0,0,1,0.10079999999999999
45,45,0.5837410000000001,0.6,0.3502446,1,0,0,1,0.10199999999999998
46,46,0.5837410000000001,1.0,0.5837410000000001,1,1,1,1,0.10319999999999999
47,47,0.5917209999999999,0.6,0.3550326,1,0,1,0,0.10439999999999999
48,48,0.578421,0.7,0.40489469999999994,1,0,0,1,0.10559999999999999
49,49,0.5864010000000001,0.5,0.29320050000000003,1,0,0,1,0.10679999999999998
50,50,0.5837410000000001,0.6,0.3502446,1,0,0,0,0.10799999999999998
51,51,0.599701,0.6,0.3598206,1,0,1,1,0.10919999999999999
52,52,0.578421,0.8,0.4627368,1,1,0,1,0.11039999999999998
53,53,0.605021,0.8,0.4840168,0,0,1,1,0.11159999999999999
54,54,0.575761,0.5,0.2878805,1,0,1,0,0.11279999999999998
55,55,0.578421,0.4,0.2313684,1,0,0,1,0.11399999999999998
56,56,0.599701,0.5,0.2998505,1,0,0,1,0.11519999999999998
57,57,0.5864010000000001,0.6,0.3518406,1,0,1,1,0.11639999999999999
58,58,0.575761,0.6,0.34545659999999995,1,1,1,1,0.11759999999999998
59,59,0.599701,0.8,0.47976080000000004,1,0,0,1,0.11879999999999998
60,60,0.5837410000000001,0.4,0.23349640000000005,0,0,0,0,0.11999999999999998
61,61,0.605021,0.5,0.3025105,1,0,0,0,0.12119999999999999
62,62,0.581081,0.4,0.23243239999999998,0,0,1,1,0.12239999999999998
63,63,0.578421,0.8,0.4627368,1,1,1,1,0.12359999999999997
64,64,0.589061,0.6,0.35343659999999993,1,0,1,0,0.12479999999999998
65,65,0.578421,0.7,0.40489469999999994,1,0,1,1,0.126
66,66,0.5864010000000001,0.8,0.46912080000000006,0,0,0,0,0.12719999999999998
67,67,0.594381,0.9,0.5349429000000001,1,0,0,0,0.12839999999999996
68,68,0.575761,0.8,0.4606088,1,0,1,0,0.1296
69,69,0.5917209999999999,0.9,0.5325489,1,1,0,0,0.13079999999999997
70,70,0.581081,0.5,0.2905405,0,0,0,1,0.13199999999999998
71,71,0.5917209999999999,0.7,0.4142046999999999,0,1,1,0,0.13319999999999999
72,72,0.589061,0.6,0.35343659999999993,0,0,0,1,0.13439999999999996
73,73,0.589061,0.6,0.35343659999999993,1,1,1,1,0.1356
74,74,0.5837410000000001,0.6,0.3502446,0,0,1,0,0.13679999999999998
75,75,0.5837410000000001,0.7,0.4086187,1,1,1,1,0.13799999999999996
76,76,0.578421,0.7,0.40489469999999994,0,0,0,1,0.1392
77,77,0.5864010000000001,0.5,0.29320050000000003,0,1,0,1,0.14039999999999997
78,78,0.589061,0.9,0.5301549,1,1,1,0,0.14159999999999998
79,79,0.5864010000000001,0.7,0.41048070000000003,0,0,0,1,0.14279999999999998
80,80,0.5864010000000001,0.5,0.29320050000000003,1,0,0,1,0.14399999999999996
81,81,0.594381,0.5,0.2971905,1,0,0,0,0.1452
82,82,0.5864010000000001,0.7,0.41048070000000003,1,0,1,0,0.14639999999999997
83,83,0.597041,0.5,0.2985205,1,1,0,1,0.14759999999999995
84,84,0.575761,0.5,0.2878805,1,0,1,1,0.1488
85,85,0.597041,0.6,0.3582246,1,1,0,1,0.14999999999999997
