,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,carbon_init
0,0,5.53892,0.7,3.8772439999999997,1,1,0,0,140000.0
1,1,5.545919,0.7,3.8821432999999996,1,0,1,0,143500.0
2,2,5.552919,0.5,2.7764595,0,1,0,0,147000.0
3,3,5.559918,0.5,2.779959,1,0,1,1,150500.0
4,4,5.566923,0.8,4.4535384,0,1,0,1,154000.0
5,5,5.573919999999999,0.6,3.3443519999999993,0,0,0,0,157500.0
6,6,5.580917,0.5,2.7904585,0,0,1,1,161000.0
7,7,5.587921,0.9,5.0291289,0,1,0,0,164500.0
8,8,5.5949219999999995,0.7,3.9164453999999993,0,0,0,1,168000.0
9,9,5.601921,0.7,3.9213446999999997,0,0,1,1,171500.0
10,10,5.608918,0.6,3.3653508,1,0,1,1,175000.0
11,11,5.615921999999999,0.4,2.2463688,1,1,1,0,178500.0
12,12,5.62292,0.5,2.81146,1,1,0,1,182000.0
13,13,5.629918,0.8,4.5039344,1,0,0,0,185500.0
14,14,5.636919000000001,0.5,2.8184595000000003,0,0,1,1,189000.0
15,15,5.643923,0.8,4.5151384000000006,0,0,0,0,192500.0
16,16,5.650922,0.8,4.5207375999999995,0,0,1,0,196000.0
17,17,5.657922,0.6,3.3947532,1,0,0,0,199500.0
18,18,5.664921,0.5,2.8324605,0,1,1,1,203000.0
19,19,5.671922,0.3,1.7015766,0,0,0,1,206500.0
20,20,5.678921,0.7,3.9752446999999997,1,0,1,0,210000.0
21,21,5.68592,0.6,3.411552,0,1,0,0,213500.0
22,22,5.69292,0.6,3.415752,1,1,1,0,217000.0
23,23,5.699925,0.7,3.9899475,1,1,1,1,220500.0
24,24,5.70692,0.7,3.994844,0,0,0,1,224000.0
25,25,5.7139180000000005,1.0,5.7139180000000005,0,1,0,1,227500.0
26,26,5.720919,0.6,3.4325514,0,0,0,1,231000.0
27,27,5.727922,0.7,4.0095454,0,0,0,1,234500.0
28,28,5.734923,0.7,4.0144461,0,1,0,0,238000.0
29,29,5.7419199999999995,0.6,3.4451519999999998,1,1,0,0,241500.0
30,30,5.748921,0.7,4.0242447,1,0,1,0,245000.0
31,31,5.7559190000000005,0.6,3.4535514000000003,0,1,0,1,248500.0
32,32,5.762919999999999,0.5,2.8814599999999997,1,0,1,0,252000.0
33,33,5.76992,0.7,4.038944,1,0,1,1,255500.0
34,34,5.776919,0.8,4.6215352,1,0,0,0,259000.0
35,35,5.78392,0.7,4.048744,0,0,1,1,262500.0
36,36,5.790921,0.7,4.0536446999999995,1,0,0,0,266000.0
37,37,5.7979199999999995,0.8,4.638336,1,1,1,1,269500.0
38,38,5.80492,0.8,4.643936,0,0,1,0,273000.0
39,39,5.811923,0.4,2.3247692,1,0,1,0,276500.0
40,40,5.818917,0.7,4.073241899999999,1,0,1,1,280000.0
41,41,5.825921,0.7,4.0781447,1,0,0,1,283500.0
42,42,5.832921000000001,0.7,4.0830447,1,1,1,1,287000.0
43,43,5.8399209999999995,0.4,2.3359684,0,1,1,0,290500.0
44,44,5.84692,0.3,1.754076,0,0,1,1,294000.0
45,45,5.8539200000000005,0.5,2.9269600000000002,1,0,1,1,297500.0
46,46,5.86092,0.5,2.93046,1,0,0,1,301000.0
47,47,5.867921,0.6,3.5207526,1,0,1,1,304500.0
48,48,5.87492,0.4,2.349968,1,1,1,0,308000.0
49,49,5.881918000000001,0.8,4.7055344,1,1,0,1,311500.0
50,50,5.888920000000001,0.9,5.300028000000001,1,1,0,1,315000.0
51,51,5.8959209999999995,0.5,2.9479604999999998,1,1,1,0,318500.0
52,52,5.90292,0.5,2.95146,0,0,1,1,322000.0
53,53,5.9099200000000005,0.7,4.136944,1,0,0,1,325500.0
54,54,5.916919,0.8,4.7335352,1,0,0,0,329000.0
55,55,5.923919,0.7,4.1467433,1,1,1,1,332500.0
56,56,5.930922000000001,0.8,4.7447376000000006,0,1,1,1,336000.0
57,57,5.937919,0.6,3.5627514,0,1,1,1,339500.0
58,58,5.9449179999999995,0.7,4.161442599999999,0,0,1,1,343000.0
59,59,5.9519210000000005,0.7,4.1663447,0,1,1,0,346500.0
60,60,5.958919,0.8,4.7671352,1,1,0,0,350000.0
61,61,5.96592,0.8,4.772736,1,1,1,0,353500.0
62,62,5.972917000000001,0.5,2.9864585000000003,0,1,0,0,357000.0
63,63,5.979921,0.5,2.9899605,0,0,0,0,360500.0
64,64,5.98692,0.4,2.394768,1,0,1,0,364000.0
65,65,5.993921,0.8,4.795136800000001,1,0,0,0,367500.0
66,66,6.000918,0.4,2.4003672000000003,1,1,0,0,371000.0
67,67,6.007918999999999,0.8,4.8063351999999995,0,0,1,1,374500.0
68,68,6.01492,0.9,5.413428000000001,1,1,1,0,378000.0
69,69,6.02192,0.5,3.01096,0,0,1,0,381500.0
70,70,6.0289209999999995,0.7,4.220244699999999,0,1,0,0,385000.0
71,71,6.03592,0.7,4.225143999999999,1,0,0,0,388500.0
72,72,6.042921,0.7,4.2300447,1,1,1,1,392000.0
73,73,6.049918,0.4,2.4199672000000003,0,0,1,0,395500.0
74,74,6.056919,0.4,2.4227676000000002,1,1,1,1,399000.0
75,75,6.06392,0.6,3.6383520000000003,0,0,1,0,402500.0
76,76,6.07092,0.5,3.03546,1,1,0,1,406000.0
77,77,6.077919,0.7,4.254543299999999,0,0,0,0,409500.0
78,78,6.084921,0.6,3.6509525999999997,1,0,0,0,413000.0
79,79,6.091921,0.6,3.6551526,1,1,1,1,416500.0
80,80,6.09892,0.4,2.439568,0,1,1,1,420000.0
81,81,6.1059220000000005,0.8,4.884737600000001,1,1,1,1,423500.0
82,82,6.112921,0.6,3.6677526,0,1,1,0,427000.0
83,83,6.11992,0.9,5.507928,1,0,1,0,430500.0
84,84,6.126921,0.9,5.5142289,1,0,0,0,434000.0
85,85,6.13392,0.8,4.907136,1,0,1,1,437500.0
86,86,6.1409199999999995,0.6,3.6845519999999996,1,0,1,0,441000.0
87,87,6.14792,0.6,3.688752,1,0,1,1,444500.0
88,88,6.15492,0.8,4.923936,1,0,0,1,448000.0
89,89,6.161922,0.6,3.6971532,0,0,0,1,451500.0
90,90,6.168921,0.7,4.3182447,0,1,0,1,455000.0
91,91,6.175921000000001,0.7,4.3231447,1,0,1,1,458500.0
92,92,6.182923000000001,0.5,3.0914615000000003,0,1,1,0,462000.0
93,93,6.1899180000000005,0.5,3.0949590000000002,1,1,0,1,465500.0
94,94,6.196923,0.6,3.7181537999999996,1,0,0,1,469000.0
95,95,6.203922,0.8,4.9631376000000005,0,0,1,0,472500.0
96,96,6.210917,0.8,4.9687336,0,0,1,1,476000.0
97,97,6.21792,0.5,3.10896,0,0,1,1,479500.0
98,98,6.224918000000001,0.6,3.7349508,1,0,0,1,483000.0
99,99,6.231921,0.8,4.9855368,1,0,1,1,486500.0
100,100,6.238919,0.5,3.1194595,0,1,1,1,490000.0
101,101,6.24592,0.6,3.7475519999999998,1,0,1,1,493500.0
102,102,6.252916,0.4,2.5011664000000002,0,1,0,0,497000.0
103,103,6.259918,0.4,2.5039672,0,0,0,1,500500.0
104,104,6.266916,0.5,3.133458,1,1,0,1,504000.0
105,105,6.2739199999999995,0.4,2.509568,1,0,1,1,507500.0
106,106,6.28092,0.6,3.7685519999999997,0,1,1,0,511000.0
107,107,6.287921,0.6,3.7727525999999996,1,0,0,1,514500.0
108,108,6.294922,0.5,3.147461,0,1,0,0,518000.0
109,109,6.301921,0.3,1.8905763,1,0,1,1,521500.0
110,110,6.308922,0.6,3.7853532,1,0,1,1,525000.0
111,111,6.31592,0.8,5.052736,1,1,1,1,528500.0
112,112,6.322916,0.7,4.4260412,1,1,1,1,532000.0
113,113,6.3299199999999995,0.6,3.7979519999999996,1,0,1,1,535500.0
114,114,6.336924,0.6,3.8021543999999996,1,0,1,1,539000.0
115,115,6.34392,0.8,5.0751360000000005,1,0,1,0,542500.0
116,116,6.350918999999999,0.6,3.8105513999999996,0,0,0,0,546000.0
117,117,6.35792,0.6,3.814752,0,0,1,1,549500.0
118,118,6.364921,0.9,5.7284289,1,0,0,1,553000.0
119,119,6.371918,0.7,4.4603426,0,1,0,0,556500.0
120,120,6.378919,0.9,5.7410271,0,0,0,1,560000.0
121,121,6.3859189999999995,0.5,3.1929594999999997,0,0,1,0,563500.0
122,122,6.39292,0.5,3.19646,0,0,1,1,567000.0
123,123,6.39992,0.5,3.19996,1,1,1,0,570500.0
124,124,6.406919,0.7,4.4848433,1,0,0,1,574000.0
125,125,6.413923,0.8,5.1311384,1,1,1,0,577500.0
126,126,6.420921,0.7,4.494644699999999,1,1,1,1,581000.0
127,127,6.42792,0.5,3.21396,1,0,1,0,584500.0
128,128,6.43492,0.6,3.8609519999999997,0,0,0,0,588000.0
129,129,6.441917999999999,0.3,1.9325753999999997,1,0,0,1,591500.0
130,130,6.448918999999999,0.6,3.8693513999999993,0,0,0,0,595000.0
131,131,6.455916,0.8,5.1647328,1,1,0,0,598500.0
132,132,6.462921,0.6,3.8777525999999995,0,0,0,1,602000.0
133,133,6.46992,0.9,5.822928,0,0,1,1,605500.0
134,134,6.476921,0.6,3.8861526,0,0,0,0,609000.0
135,135,6.48392,0.7,4.538744,1,1,1,0,612500.0
136,136,6.49092,0.7,4.543644,1,0,1,1,616000.0
137,137,6.497920000000001,0.5,3.2489600000000003,0,0,0,1,619500.0
138,138,6.504918999999999,0.5,3.2524594999999996,0,1,0,0,623000.0
139,139,6.511918,0.5,3.255959,1,0,0,1,626500.0
140,140,6.518922999999999,0.4,2.6075692,1,0,1,0,630000.0
141,141,6.525920000000001,0.5,3.2629600000000005,0,0,1,0,633500.0
142,142,6.53292,0.4,2.613168,1,0,1,1,637000.0
143,143,6.539921,0.7,4.5779447,0,0,1,0,640500.0
144,144,6.546921,0.5,3.2734605,0,1,1,0,644000.0
145,145,6.5539190000000005,0.8,5.243135200000001,0,1,0,0,647500.0
146,146,6.56092,0.4,2.6243680000000005,1,0,0,0,651000.0
147,147,6.567919999999999,0.5,3.2839599999999995,0,0,0,1,654500.0
148,148,6.574921000000001,0.4,2.6299684000000005,1,1,0,0,658000.0
149,149,6.581919999999999,0.6,3.9491519999999993,0,0,0,1,661500.0
150,150,6.588922999999999,0.3,1.9766768999999997,0,0,1,1,665000.0
151,151,6.595922,0.5,3.297961,1,0,0,0,668500.0
152,152,6.60292,0.8,5.282336000000001,0,0,1,0,672000.0
153,153,6.609923,0.5,3.3049615,1,1,1,0,675500.0
154,154,6.616922,0.3,1.9850765999999997,0,0,0,1,679000.0
155,155,6.623921,0.9,5.9615289,0,0,1,1,682500.0
