,id,exec_per_sec,succ_rate,succ_per_sec,measure_time
0,0,0.29226925,0.65,0.18997501249999998,0.04000000000000001
1,1,0.29309385,0.66,0.193441941,0.04800000000000001
2,2,0.29264165000000003,0.68,0.19899632200000003,0.05600000000000001
3,3,0.29383865,0.64,0.188056736,0.064
4,4,0.29157765,0.66,0.19244124900000004,0.07200000000000001
5,5,0.29468985,0.64,0.18860150399999998,0.08000000000000002
6,6,0.29258845,0.67,0.1960342615,0.08800000000000001
7,7,0.29365245,0.66,0.19381061700000002,0.096
8,8,0.29357265,0.64,0.187886496,0.10400000000000001
9,9,0.29367905,0.63,0.1850178015,0.11200000000000002
10,10,0.29314704999999996,0.67,0.1964085235,0.12000000000000001
11,11,0.29381205,0.66,0.193915953,0.128
12,12,0.29370565,0.68,0.199719842,0.136
13,13,0.29447705,0.66,0.19435485300000002,0.14400000000000002
14,14,0.29288105000000003,0.67,0.19623030350000004,0.15200000000000002
15,15,0.29309385,0.66,0.193441941,0.16
16,16,0.29381205,0.67,0.1968540735,0.168
17,17,0.29317365,0.69,0.2022898185,0.17600000000000002
18,18,0.29317365,0.68,0.19935808200000002,0.18400000000000002
19,19,0.29357265,0.67,0.1966936755,0.192
