,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,measure
0,0,5.850518,0.5,2.925259,1,1,0,1,1600.0
1,1,5.850681,0.6,3.5104086,1,0,0,0,1640.0
2,2,5.85084,0.7,4.095587999999999,1,1,0,0,1680.0
3,3,5.851001,0.6,3.5106006,1,0,1,1,1720.0
4,4,5.851159,0.7,4.095811299999999,1,1,1,1,1760.0
5,5,5.851319999999999,0.3,1.7553959999999997,1,1,1,0,1800.0
6,6,5.851478,0.7,4.0960346,1,1,0,1,1840.0
7,7,5.851641,0.6,3.5109846,1,0,0,1,1880.0
8,8,5.851801,0.7,4.0962607,1,0,1,0,1920.0
9,9,5.85196,0.3,1.755588,0,1,0,0,1960.0
10,10,5.852121,0.5,2.9260605,1,1,1,0,2000.0
11,11,5.852282000000001,0.7,4.0965974,0,1,1,1,2040.0
12,12,5.852441000000001,0.8,4.6819528,0,0,0,0,2080.0
13,13,5.852602,0.8,4.6820816,1,1,0,0,2120.0
14,14,5.852759,0.5,2.9263795,1,0,1,1,2160.0
15,15,5.852924,0.6,3.5117543999999996,0,0,1,1,2200.0
16,16,5.853079,0.7,4.0971553,0,0,0,1,2240.0
17,17,5.853238,0.6,3.5119428,1,0,1,1,2280.0
18,18,5.853396999999999,0.7,4.0973779,0,0,0,1,2320.0
19,19,5.853562,0.9,5.2682058000000005,0,0,1,0,2360.0
20,20,5.853721999999999,0.6,3.5122331999999994,0,0,1,0,2400.0
21,21,5.8538809999999994,0.6,3.5123285999999996,1,0,0,0,2440.0
22,22,5.854038,0.7,4.097826599999999,0,1,1,0,2480.0
23,23,5.854198,0.7,4.0979386,1,0,1,0,2520.0
24,24,5.8543579999999995,0.7,4.0980506,1,0,1,1,2560.0
25,25,5.85452,0.7,4.098164,1,1,1,0,2600.0
26,26,5.854679,0.4,2.3418716,0,0,0,1,2640.0
27,27,5.8548409999999995,0.7,4.098388699999999,0,0,0,1,2680.0
28,28,5.8549999999999995,0.8,4.684,1,0,1,1,2720.0
29,29,5.85516,0.6,3.5130959999999996,0,0,1,1,2760.0
30,30,5.855318,1.0,5.855318,1,0,0,1,2800.0
31,31,5.855481,0.6,3.5132886,0,1,0,1,2840.0
32,32,5.855639,0.7,4.0989473,0,1,0,1,2880.0
33,33,5.8558,0.6,3.51348,1,1,1,0,2920.0
34,34,5.8559600000000005,0.5,2.9279800000000002,1,0,0,0,2960.0
35,35,5.85612,0.6,3.5136719999999997,1,0,1,1,3000.0
36,36,5.856277,0.8,4.685021600000001,1,0,0,1,3040.0
37,37,5.856439,0.7,4.0995073,0,1,0,1,3080.0
38,38,5.8566009999999995,0.7,4.099620699999999,0,0,1,1,3120.0
39,39,5.856759,0.6,3.5140554,1,1,0,0,3160.0
40,40,5.856920000000001,0.4,2.3427680000000004,0,1,1,1,3200.0
41,41,5.857081,0.6,3.5142485999999997,0,0,1,0,3240.0
42,42,5.857239,0.4,2.3428956,0,0,1,0,3280.0
43,43,5.857398,0.7,4.1001786,1,0,0,1,3320.0
44,44,5.857558,0.6,3.5145348,1,0,0,1,3360.0
45,45,5.85772,0.6,3.5146319999999998,1,1,0,0,3400.0
46,46,5.85788,0.6,3.514728,1,0,1,1,3440.0
47,47,5.858039,0.6,3.5148233999999996,1,0,0,0,3480.0
48,48,5.858200999999999,0.9,5.2723809,1,0,0,1,3520.0
49,49,5.8583620000000005,0.5,2.9291810000000003,0,0,0,1,3560.0
50,50,5.858521,0.8,4.6868168,1,0,1,1,3600.0
51,51,5.858681,0.7,4.101076699999999,1,0,0,0,3640.0
52,52,5.858835,0.8,4.687068,0,1,1,1,3680.0
53,53,5.858998,0.5,2.929499,0,0,1,0,3720.0
54,54,5.859157,0.6,3.5154941999999996,0,0,0,1,3760.0
55,55,5.859319,0.6,3.5155914,0,0,0,0,3800.0
56,56,5.859479,0.8,4.687583200000001,0,1,1,1,3840.0
57,57,5.859640000000001,0.5,2.9298200000000003,1,0,0,0,3880.0
58,58,5.8598,0.5,2.9299,0,1,1,0,3920.0
59,59,5.859959,0.7,4.1019713,0,0,0,1,3960.0
60,60,5.860117000000001,0.6,3.5160702,0,1,0,1,4000.0
61,61,5.860279,0.7,4.1021953,1,0,1,1,4040.0
62,62,5.860441,0.9,5.2743969,1,0,1,0,4080.0
63,63,5.860601,0.8,4.6884808,0,0,0,0,4120.0
64,64,5.860759,0.6,3.5164554,0,1,1,1,4160.0
65,65,5.860920999999999,1.0,5.860920999999999,0,0,1,1,4200.0
66,66,5.861081,0.4,2.3444324,0,1,0,0,4240.0
67,67,5.861241,0.6,3.5167445999999996,1,1,1,1,4280.0
68,68,5.8613990000000005,0.8,4.6891192,0,0,0,0,4320.0
69,69,5.861559,0.4,2.3446236,0,0,1,1,4360.0
70,70,5.861721,0.4,2.3446884000000003,1,0,0,1,4400.0
71,71,5.861879,0.8,4.6895032,1,1,1,0,4440.0
72,72,5.8620399999999995,0.7,4.103427999999999,1,0,1,0,4480.0
73,73,5.8622,0.6,3.51732,0,1,0,0,4520.0
74,74,5.862360000000001,0.5,2.9311800000000003,1,0,1,1,4560.0
75,75,5.862521,0.5,2.9312605,1,1,0,0,4600.0
76,76,5.862679,0.7,4.1038752999999994,1,0,1,0,4640.0
77,77,5.862838,0.9,5.2765542000000005,0,0,1,0,4680.0
78,78,5.863001,0.7,4.104100699999999,1,1,0,1,4720.0
79,79,5.863161,0.7,4.1042127,1,0,1,1,4760.0
80,80,5.863319,0.6,3.5179913999999997,1,0,0,0,4800.0
81,81,5.863481,0.4,2.3453924,1,0,0,0,4840.0
82,82,5.863640999999999,0.7,4.1045487,0,1,0,1,4880.0
83,83,5.863802,0.3,1.7591405999999998,1,0,1,0,4920.0
84,84,5.863961,0.6,3.5183766,0,1,0,1,4960.0
85,85,5.86412,0.3,1.7592359999999998,0,1,1,1,5000.0
86,86,5.864281,0.4,2.3457124,0,0,0,1,5040.0
87,87,5.86444,0.5,2.93222,0,0,1,0,5080.0
88,88,5.864598,0.8,4.6916784,0,1,0,0,5120.0
89,89,5.864762000000001,0.8,4.691809600000001,1,0,0,0,5160.0
90,90,5.864921,0.4,2.3459684,0,1,1,0,5200.0
91,91,5.865079,0.7,4.1055553,1,0,1,0,5240.0
92,92,5.865242,0.6,3.5191452,1,0,1,0,5280.0
93,93,5.8654,0.6,3.51924,1,1,1,0,5320.0
94,94,5.8655610000000005,0.6,3.5193366000000004,0,0,0,0,5360.0
95,95,5.865721,0.6,3.5194325999999996,0,0,0,0,5400.0
96,96,5.86588,0.5,2.93294,0,1,1,1,5440.0
97,97,5.866039,0.7,4.1062273,0,1,0,0,5480.0
98,98,5.866201,0.6,3.5197206,0,0,0,1,5520.0
99,99,5.866359,0.5,2.9331795,1,1,1,0,5560.0
100,100,5.866518,0.7,4.1065626,1,0,0,0,5600.0
101,101,5.866682,0.7,4.1066774,0,0,1,0,5640.0
102,102,5.86684,0.5,2.93342,0,1,0,0,5680.0
103,103,5.866999,0.7,4.106899299999999,1,1,0,0,5720.0
104,104,5.8671619999999995,0.9,5.2804458,0,0,0,1,5760.0
105,105,5.867317,0.4,2.3469268,1,0,1,1,5800.0
106,106,5.867482,0.7,4.1072374,0,1,1,0,5840.0
107,107,5.867642,0.7,4.1073493999999995,1,0,1,0,5880.0
108,108,5.867799,0.9,5.2810191,1,0,1,0,5920.0
109,109,5.867959,0.9,5.2811631,1,0,1,1,5960.0
110,110,5.868121,0.4,2.3472484000000002,1,0,0,1,6000.0
111,111,5.86828,1.0,5.86828,0,0,0,0,6040.0
112,112,5.868441,0.8,4.6947528,1,1,1,1,6080.0
113,113,5.868602,0.6,3.5211612,0,1,1,1,6120.0
114,114,5.8687570000000004,0.7,4.1081299,1,0,1,0,6160.0
115,115,5.868923000000001,0.6,3.5213538000000004,1,0,1,1,6200.0
116,116,5.8690809999999995,0.8,4.6952647999999995,1,0,0,1,6240.0
117,117,5.869239,0.7,4.1084673,1,0,0,0,6280.0
118,118,5.869399,0.7,4.1085793,0,0,0,1,6320.0
119,119,5.869561,0.6,3.5217366,1,1,0,1,6360.0
120,120,5.869721,0.8,4.6957768,1,0,0,1,6400.0
121,121,5.86988,0.6,3.521928,1,0,1,1,6440.0
122,122,5.870039,0.8,4.6960312,0,0,1,1,6480.0
123,123,5.870201,0.4,2.3480804,1,0,1,1,6520.0
124,124,5.870358,0.8,4.696286400000001,0,0,0,1,6560.0
125,125,5.870518,0.8,4.6964144,1,1,1,1,6600.0
126,126,5.870679,0.6,3.5224074,0,0,0,0,6640.0
127,127,5.870841,0.8,4.696672800000001,0,0,0,1,6680.0
128,128,5.871001,1.0,5.871001,1,0,0,1,6720.0
129,129,5.871162,0.6,3.5226972,0,0,0,0,6760.0
130,130,5.871321,0.4,2.3485284,1,1,1,0,6800.0
131,131,5.871482,0.5,2.935741,0,1,1,1,6840.0
132,132,5.871641,0.7,4.1101487,0,0,0,0,6880.0
133,133,5.871797,0.3,1.7615391,0,1,1,0,6920.0
134,134,5.8719589999999995,0.4,2.3487836,1,0,0,1,6960.0
135,135,5.872119,0.7,4.110483299999999,0,1,1,1,7000.0
136,136,5.87228,0.6,3.523368,1,1,0,1,7040.0
137,137,5.872439,0.9,5.2851951,1,0,0,1,7080.0
138,138,5.872599,0.6,3.5235594,1,0,1,1,7120.0
139,139,5.87276,0.3,1.7618280000000002,0,1,0,0,7160.0
140,140,5.8729190000000004,0.5,2.9364595000000002,1,0,1,0,7200.0
141,141,5.873079,0.6,3.5238473999999997,1,0,1,1,7240.0
142,142,5.87324,0.6,3.5239439999999997,1,0,1,1,7280.0
143,143,5.873400999999999,0.1,0.5873400999999999,1,1,1,1,7320.0
144,144,5.8735599999999994,0.6,3.5241359999999995,1,1,1,0,7360.0
145,145,5.873717,0.5,2.9368585,1,0,0,0,7400.0
146,146,5.8738790000000005,0.7,4.1117153,1,1,1,0,7440.0
147,147,5.874041,0.7,4.1118287,1,0,0,0,7480.0
148,148,5.874201,0.7,4.1119407,0,1,0,0,7520.0
149,149,5.87436,0.4,2.3497440000000003,0,0,1,1,7560.0
150,150,5.874521,0.6,3.5247125999999995,0,0,1,1,7600.0
151,151,5.87468,0.5,2.93734,0,0,1,0,7640.0
152,152,5.87484,0.5,2.93742,1,0,0,1,7680.0
153,153,5.875,0.5,2.9375,0,0,0,1,7720.0
154,154,5.875157,0.6,3.5250942,1,0,0,0,7760.0
155,155,5.875317,0.8,4.7002536,1,0,1,0,7800.0
156,156,5.875481,0.4,2.3501924,0,0,1,0,7840.0
157,157,5.875641,0.6,3.5253845999999998,1,0,1,1,7880.0
158,158,5.875802,0.8,4.7006416,1,1,0,1,7920.0
159,159,5.875961,0.7,4.1131727,0,0,0,1,7960.0
