,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,two_qubit_gate_depolar_prob
91,91,12.319199999999999,0.6,7.391519999999999,1,1,0,0,0.1128000000000002
92,92,12.319199999999999,0.8,9.85536,1,0,1,0,0.1136000000000002
93,93,12.319199999999999,0.5,6.159599999999999,1,0,1,0,0.1144000000000002
94,94,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.11520000000000019
95,95,12.319199999999999,0.5,6.159599999999999,0,1,0,1,0.11600000000000021
96,96,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.11680000000000021
97,97,12.319199999999999,0.3,3.6957599999999995,0,0,1,0,0.1176000000000002
98,98,12.319199999999999,0.7,8.623439999999999,1,0,1,1,0.1184000000000002
99,99,12.319199999999999,0.9,11.08728,1,1,1,1,0.11920000000000022
100,100,12.319199999999999,0.5,6.159599999999999,0,1,0,0,0.12000000000000022
101,101,12.319199999999999,0.4,4.92768,1,1,1,0,0.12080000000000021
102,102,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.12160000000000021
103,103,12.319199999999999,0.8,9.85536,1,0,0,1,0.12240000000000023
104,104,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.12320000000000023
105,105,12.319199999999999,0.6,7.391519999999999,0,1,0,1,0.12400000000000022
106,106,12.319199999999999,0.5,6.159599999999999,0,0,1,1,0.12480000000000022
107,107,12.319199999999999,0.8,9.85536,1,0,1,1,0.12560000000000024
108,108,12.319199999999999,0.5,6.159599999999999,1,0,1,0,0.12640000000000023
109,109,12.319199999999999,0.6,7.391519999999999,1,0,0,1,0.12720000000000023
110,110,12.319199999999999,0.9,11.08728,0,1,0,0,0.12800000000000022
111,111,12.319199999999999,0.6,7.391519999999999,1,1,0,0,0.12880000000000025
112,112,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.12960000000000024
113,113,12.319199999999999,1.0,12.319199999999999,0,1,1,1,0.13040000000000024
114,114,12.319199999999999,0.5,6.159599999999999,1,1,1,0,0.13120000000000023
