,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,init_time
0,0,12.3192,0.59,7.2683279999999995,0,0,1,1,16000.0
1,1,12.3192,0.6,7.39152,1,1,1,1,20000.0
2,2,12.3192,0.65,8.007480000000001,0,0,0,0,24000.0
3,3,12.3192,0.66,8.130672,1,0,0,0,28000.0
4,4,12.3192,0.63,7.761096,0,1,0,1,32000.0
5,5,12.3192,0.72,8.869824,1,0,0,1,36000.0
6,6,12.3192,0.66,8.130672,1,0,0,1,40000.0
7,7,12.3192,0.63,7.761096,0,0,0,1,44000.0
8,8,12.3192,0.74,9.116208,1,0,1,0,48000.0
9,9,12.3192,0.63,7.761096,1,1,1,1,52000.0
10,10,12.3192,0.63,7.761096,0,0,1,1,56000.0
11,11,12.3192,0.66,8.130672,0,0,1,0,60000.0
12,12,12.3192,0.74,9.116208,1,1,0,1,64000.0
13,13,12.3192,0.57,7.0219439999999995,1,1,1,0,68000.0
14,14,12.3192,0.65,8.007480000000001,0,0,1,0,72000.0
15,15,12.3192,0.67,8.253864,0,0,0,0,76000.0
