,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,init_time
0,0,12.319199999999999,0.5,6.159599999999999,0,0,1,0,16000.0
1,1,12.319199999999999,0.5,6.159599999999999,0,0,1,1,16400.0
2,2,12.319199999999999,0.7,8.623439999999999,1,0,0,1,16800.0
3,3,12.319199999999999,0.8,9.85536,1,0,1,0,17200.0
4,4,12.319199999999999,0.6,7.391519999999999,0,0,1,1,17600.0
5,5,12.319199999999999,0.8,9.85536,0,1,0,0,18000.0
6,6,12.319199999999999,0.8,9.85536,0,1,0,1,18400.0
7,7,12.319199999999999,0.7,8.623439999999999,1,0,1,0,18800.0
8,8,12.319199999999999,0.6,7.391519999999999,1,0,1,1,19200.0
9,9,12.319199999999999,0.7,8.623439999999999,0,1,0,0,19600.0
10,10,12.319199999999999,0.6,7.391519999999999,0,0,0,1,20000.0
11,11,12.319199999999999,0.4,4.92768,1,1,1,0,20400.0
12,12,12.319199999999999,0.7,8.623439999999999,1,0,0,0,20800.0
13,13,12.319199999999999,1.0,12.319199999999999,1,1,0,1,21200.0
14,14,12.319199999999999,0.6,7.391519999999999,0,0,1,0,21600.0
15,15,12.319199999999999,0.8,9.85536,1,0,0,1,22000.0
16,16,12.319199999999999,0.8,9.85536,0,0,1,1,22400.0
17,17,12.319199999999999,0.7,8.623439999999999,0,0,1,0,22800.0
18,18,12.319199999999999,0.4,4.92768,0,0,1,1,23200.0
19,19,12.319199999999999,0.7,8.623439999999999,1,1,0,1,23600.0
20,20,12.319199999999999,0.7,8.623439999999999,0,0,0,0,24000.0
21,21,12.319199999999999,0.8,9.85536,1,0,1,0,24400.0
22,22,12.319199999999999,0.5,6.159599999999999,0,1,0,1,24800.0
23,23,12.319199999999999,0.7,8.623439999999999,0,1,1,1,25200.0
24,24,12.319199999999999,0.9,11.08728,1,0,1,0,25600.0
25,25,12.319199999999999,0.8,9.85536,1,1,1,0,26000.0
26,26,12.319199999999999,0.5,6.159599999999999,0,0,0,0,26400.0
27,27,12.319199999999999,0.8,9.85536,0,1,0,1,26800.0
28,28,12.319199999999999,0.6,7.391519999999999,1,0,0,0,27200.0
29,29,12.319199999999999,0.5,6.159599999999999,0,0,1,0,27600.0
30,30,12.319199999999999,0.6,7.391519999999999,1,1,0,1,28000.0
31,31,12.319199999999999,0.5,6.159599999999999,0,0,0,1,28400.0
32,32,12.319199999999999,0.9,11.08728,0,1,1,0,28800.0
33,33,12.319199999999999,0.5,6.159599999999999,1,0,0,1,29200.0
34,34,12.319199999999999,0.6,7.391519999999999,0,1,0,0,29600.0
35,35,12.319199999999999,0.6,7.391519999999999,0,0,1,0,30000.0
36,36,12.319199999999999,0.9,11.08728,1,0,1,0,30400.0
37,37,12.319199999999999,0.8,9.85536,1,0,0,0,30800.0
38,38,12.319199999999999,0.7,8.623439999999999,0,1,0,1,31200.0
39,39,12.319199999999999,0.6,7.391519999999999,1,0,0,1,31600.0
40,40,12.319199999999999,0.7,8.623439999999999,0,0,1,1,32000.0
41,41,12.319199999999999,0.7,8.623439999999999,1,0,0,0,32400.0
42,42,12.319199999999999,0.8,9.85536,0,0,1,1,32800.0
43,43,12.319199999999999,0.6,7.391519999999999,1,0,1,0,33200.0
44,44,12.319199999999999,0.3,3.6957599999999995,0,1,0,0,33600.0
45,45,12.319199999999999,0.7,8.623439999999999,0,0,1,0,34000.0
46,46,12.319199999999999,0.8,9.85536,0,0,0,1,34400.0
47,47,12.319199999999999,0.6,7.391519999999999,1,0,0,1,34800.0
48,48,12.319199999999999,0.4,4.92768,1,0,1,1,35200.0
49,49,12.319199999999999,0.8,9.85536,0,0,0,0,35600.0
50,50,12.319199999999999,0.5,6.159599999999999,0,0,1,1,36000.0
51,51,12.319199999999999,0.5,6.159599999999999,1,0,1,0,36400.0
52,52,12.319199999999999,0.9,11.08728,1,0,0,1,36800.0
53,53,12.319199999999999,0.5,6.159599999999999,0,1,1,0,37200.0
54,54,12.319199999999999,0.7,8.623439999999999,1,0,1,1,37600.0
55,55,12.319199999999999,0.8,9.85536,0,0,1,1,38000.0
56,56,12.319199999999999,0.8,9.85536,0,0,1,0,38400.0
57,57,12.319199999999999,0.7,8.623439999999999,1,0,0,0,38800.0
58,58,12.319199999999999,0.8,9.85536,1,1,1,1,39200.0
59,59,12.319199999999999,0.8,9.85536,0,1,0,0,39600.0
60,60,12.319199999999999,0.8,9.85536,1,0,0,0,40000.0
61,61,12.319199999999999,0.6,7.391519999999999,1,0,0,0,40400.0
62,62,12.319199999999999,0.9,11.08728,1,0,1,1,40800.0
63,63,12.319199999999999,1.0,12.319199999999999,1,1,1,1,41200.0
64,64,12.319199999999999,0.6,7.391519999999999,1,1,1,0,41600.0
65,65,12.319199999999999,0.7,8.623439999999999,0,0,1,0,42000.0
66,66,12.319199999999999,0.4,4.92768,0,0,0,1,42400.0
67,67,12.319199999999999,0.5,6.159599999999999,1,1,1,0,42800.0
68,68,12.319199999999999,0.5,6.159599999999999,1,1,1,0,43200.0
69,69,12.319199999999999,0.9,11.08728,1,1,0,0,43600.0
70,70,12.319199999999999,0.8,9.85536,1,1,0,0,44000.0
71,71,12.319199999999999,0.7,8.623439999999999,1,0,1,0,44400.0
72,72,12.319199999999999,0.8,9.85536,0,1,0,0,44800.0
73,73,12.319199999999999,0.9,11.08728,1,0,1,1,45200.0
74,74,12.319199999999999,0.6,7.391519999999999,1,0,0,0,45600.0
75,75,12.319199999999999,0.8,9.85536,1,0,0,0,46000.0
76,76,12.319199999999999,0.4,4.92768,1,1,1,1,46400.0
