,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,carbon_z_rot_depolar_prob
0,0,5.8589210000000005,0.7,4.1012447000000005,1,0,0,0,0.00075
1,1,5.858918,0.6,3.5153507999999998,1,0,0,1,0.0007650000000000001
2,2,5.858919,0.7,4.1012433,0,1,1,1,0.0007800000000000001
3,3,5.8589199999999995,0.4,2.343568,1,0,0,0,0.0007950000000000001
4,4,5.8589199999999995,0.4,2.343568,0,0,0,0,0.0008100000000000002
5,5,5.8589199999999995,0.7,4.1012439999999994,0,0,1,0,0.0008250000000000002
6,6,5.858919,0.8,4.6871352,1,1,1,0,0.0008400000000000003
7,7,5.858922,0.6,3.5153532,1,1,0,1,0.0008550000000000003
8,8,5.8589210000000005,0.5,2.9294605000000002,0,1,0,1,0.0008700000000000003
9,9,5.858923,0.8,4.6871384,0,0,0,1,0.0008850000000000004
10,10,5.858918,0.8,4.687134400000001,1,1,1,1,0.0009000000000000004
11,11,5.858918,0.8,4.687134400000001,0,0,0,0,0.0009150000000000004
12,12,5.858924,0.6,3.5153544,1,1,1,1,0.0009300000000000005
13,13,5.8589199999999995,0.7,4.1012439999999994,0,1,0,0,0.0009450000000000005
14,14,5.8589210000000005,0.4,2.3435684,1,1,1,0,0.0009600000000000006
15,15,5.8589199999999995,1.0,5.8589199999999995,0,0,1,1,0.0009750000000000006
16,16,5.858918,0.5,2.929459,1,0,0,0,0.0009900000000000006
17,17,5.8589199999999995,0.5,2.9294599999999997,1,1,1,0,0.0010050000000000007
18,18,5.858918,0.4,2.3435672000000003,1,0,1,0,0.0010200000000000007
19,19,5.858923,0.4,2.3435692,0,1,0,1,0.0010350000000000008
20,20,5.858919,0.6,3.5153514,0,0,0,1,0.0010500000000000008
21,21,5.858922,0.8,4.6871376,1,0,1,1,0.0010650000000000008
22,22,5.8589199999999995,0.2,1.171784,0,0,0,1,0.0010800000000000009
23,23,5.8589210000000005,0.4,2.3435684,0,0,1,1,0.001095000000000001
24,24,5.858922,0.5,2.929461,0,0,0,1,0.001110000000000001
25,25,5.8589199999999995,0.7,4.1012439999999994,0,1,1,1,0.001125000000000001
26,26,5.858922,0.6,3.5153532,0,0,0,1,0.001140000000000001
27,27,5.8589210000000005,0.5,2.9294605000000002,0,1,1,0,0.001155000000000001
28,28,5.8589199999999995,0.6,3.5153519999999996,1,1,0,0,0.0011700000000000011
29,29,5.8589210000000005,0.7,4.1012447000000005,0,0,1,1,0.0011850000000000012
30,30,5.858918,0.6,3.5153507999999998,0,0,1,1,0.0012000000000000012
31,31,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.0012150000000000012
32,32,5.8589199999999995,0.6,3.5153519999999996,0,0,1,1,0.0012300000000000013
33,33,5.858918,0.6,3.5153507999999998,1,0,1,0,0.0012450000000000013
34,34,5.8589210000000005,0.7,4.1012447000000005,1,0,1,0,0.0012600000000000014
35,35,5.8589199999999995,0.9,5.273028,0,0,1,1,0.0012750000000000014
36,36,5.8589210000000005,0.3,1.7576763000000002,0,0,0,1,0.0012900000000000014
37,37,5.858919,0.6,3.5153514,0,0,0,1,0.0013050000000000015
38,38,5.8589199999999995,0.7,4.1012439999999994,1,1,1,0,0.0013200000000000015
39,39,5.858917,0.8,4.6871336,1,1,0,0,0.0013350000000000016
40,40,5.858922,0.5,2.929461,1,0,0,1,0.0013500000000000016
41,41,5.858916,0.9,5.2730244,1,0,0,1,0.0013650000000000016
42,42,5.8589210000000005,0.8,4.6871368,1,1,1,1,0.0013800000000000017
43,43,5.858922,0.7,4.1012454,1,1,1,1,0.0013950000000000017
44,44,5.858919,0.3,1.7576757,1,0,0,0,0.0014100000000000017
45,45,5.8589199999999995,0.3,1.7576759999999998,1,0,0,1,0.0014250000000000018
46,46,5.858919,0.5,2.9294595,0,0,1,1,0.0014400000000000018
47,47,5.858919,0.6,3.5153514,1,1,1,1,0.0014550000000000019
48,48,5.858918,0.9,5.2730262,0,0,0,0,0.001470000000000002
49,49,5.8589210000000005,0.5,2.9294605000000002,1,1,0,1,0.001485000000000002
50,50,5.8589199999999995,0.6,3.5153519999999996,0,0,1,1,0.001500000000000002
51,51,5.8589210000000005,0.7,4.1012447000000005,0,1,1,1,0.001515000000000002
52,52,5.858918,0.8,4.687134400000001,0,0,0,0,0.001530000000000002
53,53,5.8589210000000005,0.7,4.1012447000000005,0,0,0,0,0.001545000000000002
54,54,5.8589199999999995,0.6,3.5153519999999996,0,1,0,0,0.0015600000000000021
55,55,5.858922,0.5,2.929461,0,1,1,0,0.0015750000000000022
56,56,5.8589199999999995,0.5,2.9294599999999997,0,0,1,1,0.0015900000000000022
57,57,5.858923,0.7,4.1012461,1,0,1,0,0.0016050000000000023
58,58,5.8589199999999995,0.7,4.1012439999999994,0,0,1,1,0.0016200000000000023
59,59,5.8589199999999995,0.7,4.1012439999999994,1,0,1,0,0.0016350000000000023
60,60,5.8589210000000005,0.9,5.273028900000001,0,0,1,0,0.0016500000000000024
61,61,5.858918,0.7,4.1012426,1,0,0,0,0.0016650000000000024
62,62,5.8589210000000005,0.4,2.3435684,0,0,0,1,0.0016800000000000025
63,63,5.8589210000000005,0.7,4.1012447000000005,1,0,1,1,0.0016950000000000025
64,64,5.858919,0.6,3.5153514,0,1,0,1,0.0017100000000000025
65,65,5.8589199999999995,0.7,4.1012439999999994,1,0,1,0,0.0017250000000000026
66,66,5.8589199999999995,0.9,5.273028,1,0,0,1,0.0017400000000000026
67,67,5.858919,0.6,3.5153514,1,1,0,1,0.0017550000000000027
68,68,5.8589199999999995,0.5,2.9294599999999997,0,0,0,1,0.0017700000000000027
69,69,5.858919,0.8,4.6871352,1,1,0,0,0.0017850000000000027
70,70,5.858918,0.6,3.5153507999999998,0,0,0,1,0.0018000000000000028
71,71,5.8589199999999995,0.5,2.9294599999999997,0,0,1,1,0.0018150000000000028
72,72,5.858922,0.7,4.1012454,1,1,1,1,0.0018300000000000028
73,73,5.858918,0.8,4.687134400000001,0,1,0,1,0.0018450000000000029
74,74,5.8589210000000005,0.5,2.9294605000000002,1,1,0,1,0.001860000000000003
75,75,5.858919,0.6,3.5153514,1,0,0,1,0.001875000000000003
76,76,5.858919,0.8,4.6871352,1,0,1,0,0.001890000000000003
77,77,5.858917,0.6,3.5153502,0,0,0,0,0.001905000000000003
78,78,5.8589199999999995,0.8,4.687136,0,1,1,0,0.001920000000000003
79,79,5.858918,0.7,4.1012426,0,0,0,0,0.0019350000000000031
80,80,5.858923,0.7,4.1012461,0,0,1,1,0.0019500000000000032
81,81,5.8589199999999995,0.7,4.1012439999999994,0,1,1,0,0.001965000000000003
82,82,5.858923,0.7,4.1012461,1,0,1,1,0.0019800000000000035
83,83,5.858918,0.6,3.5153507999999998,1,0,1,1,0.0019950000000000033
84,84,5.858919,0.7,4.1012433,0,0,0,1,0.002010000000000003
85,85,5.8589199999999995,0.6,3.5153519999999996,1,1,0,0,0.0020250000000000034
86,86,5.858918,0.7,4.1012426,0,0,1,1,0.0020400000000000036
87,87,5.858919,0.5,2.9294595,0,0,1,1,0.0020550000000000034
88,88,5.8589199999999995,0.4,2.343568,0,1,1,1,0.0020700000000000033
89,89,5.858918,0.2,1.1717836000000001,0,1,1,0,0.0020850000000000035
90,90,5.8589210000000005,0.7,4.1012447000000005,0,0,1,0,0.0021000000000000038
91,91,5.858922,0.9,5.2730298,0,1,1,1,0.0021150000000000036
92,92,5.858919,0.7,4.1012433,0,0,1,0,0.0021300000000000034
93,93,5.8589199999999995,0.5,2.9294599999999997,0,0,0,1,0.0021450000000000037
94,94,5.8589210000000005,0.9,5.273028900000001,1,0,1,0,0.002160000000000004
95,95,5.8589199999999995,0.5,2.9294599999999997,1,0,0,1,0.0021750000000000038
96,96,5.8589199999999995,0.4,2.343568,0,0,0,0,0.0021900000000000036
97,97,5.8589199999999995,0.6,3.5153519999999996,0,0,0,0,0.002205000000000004
98,98,5.858923,0.6,3.5153537999999998,1,0,1,1,0.002220000000000004
99,99,5.8589210000000005,0.6,3.5153526000000004,1,1,0,1,0.002235000000000004
100,100,5.858922,0.7,4.1012454,1,0,1,1,0.0022500000000000037
101,101,5.8589210000000005,0.9,5.273028900000001,0,1,0,0,0.002265000000000004
102,102,5.858923,0.6,3.5153537999999998,1,1,1,0,0.0022800000000000042
103,103,5.858918,0.7,4.1012426,0,0,1,1,0.002295000000000004
104,104,5.8589210000000005,0.7,4.1012447000000005,0,0,0,1,0.002310000000000004
105,105,5.8589199999999995,0.4,2.343568,0,0,0,1,0.002325000000000004
106,106,5.858919,0.6,3.5153514,0,0,1,1,0.0023400000000000044
107,107,5.8589210000000005,0.5,2.9294605000000002,1,1,1,0,0.0023550000000000042
108,108,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.002370000000000004
109,109,5.8589210000000005,0.6,3.5153526000000004,0,0,1,1,0.0023850000000000043
