,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,carbon_z_rot_depolar_prob
110,110,5.8589199999999995,0.7,4.1012439999999994,0,1,1,1,0.0024000000000000046
111,111,5.8589210000000005,0.5,2.9294605000000002,1,0,0,0,0.0024150000000000044
112,112,5.858919,0.6,3.5153514,0,0,0,0,0.002430000000000004
113,113,5.8589210000000005,0.5,2.9294605000000002,0,1,0,1,0.0024450000000000045
114,114,5.858918,0.6,3.5153507999999998,1,0,0,0,0.0024600000000000047
115,115,5.8589199999999995,0.8,4.687136,0,0,0,0,0.0024750000000000045
116,116,5.858923,0.4,2.3435692,1,0,1,0,0.0024900000000000044
117,117,5.8589199999999995,0.6,3.5153519999999996,0,1,1,0,0.0025050000000000046
118,118,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.002520000000000005
119,119,5.858923,0.9,5.2730307,0,1,1,1,0.0025350000000000047
120,120,5.858922,0.3,1.7576766,0,0,1,0,0.0025500000000000045
121,121,5.858923,0.6,3.5153537999999998,0,1,1,1,0.0025650000000000048
122,122,5.8589199999999995,0.5,2.9294599999999997,0,0,1,1,0.002580000000000005
123,123,5.858922,0.6,3.5153532,0,0,1,1,0.002595000000000005
124,124,5.8589199999999995,0.8,4.687136,0,1,1,0,0.0026100000000000047
125,125,5.858918,0.9,5.2730262,0,1,0,0,0.002625000000000005
126,126,5.858919,0.7,4.1012433,1,0,1,0,0.002640000000000005
127,127,5.858917,0.6,3.5153502,1,0,0,1,0.002655000000000005
128,128,5.858919,0.9,5.2730271,1,1,0,1,0.002670000000000005
129,129,5.858922,0.8,4.6871376,1,0,1,1,0.002685000000000005
130,130,5.858922,0.7,4.1012454,1,0,0,1,0.0027000000000000053
131,131,5.8589210000000005,0.5,2.9294605000000002,1,1,0,0,0.0027150000000000047
132,132,5.8589199999999995,0.5,2.9294599999999997,1,1,0,1,0.002730000000000005
133,133,5.858916,0.8,4.6871328,1,1,1,1,0.0027450000000000052
134,134,5.8589199999999995,0.7,4.1012439999999994,1,0,1,0,0.0027600000000000055
135,135,5.8589199999999995,0.4,2.343568,1,0,0,0,0.002775000000000005
136,136,5.8589210000000005,0.7,4.1012447000000005,1,0,1,0,0.002790000000000005
137,137,5.858918,0.8,4.687134400000001,0,1,0,0,0.0028050000000000054
138,138,5.8589199999999995,1.0,5.8589199999999995,0,0,1,1,0.0028200000000000057
139,139,5.8589199999999995,0.7,4.1012439999999994,1,1,0,1,0.002835000000000005
140,140,5.8589210000000005,0.6,3.5153526000000004,0,0,1,1,0.0028500000000000053
141,141,5.8589199999999995,0.8,4.687136,1,1,0,0,0.0028650000000000056
142,142,5.8589210000000005,0.6,3.5153526000000004,0,1,1,1,0.002880000000000006
143,143,5.858919,0.5,2.9294595,1,0,1,1,0.002895000000000005
144,144,5.858918,0.5,2.929459,1,0,0,1,0.0029100000000000055
145,145,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.0029250000000000057
146,146,5.858917,0.7,4.1012419,1,1,1,1,0.002940000000000006
147,147,5.8589199999999995,0.6,3.5153519999999996,0,0,0,1,0.0029550000000000054
148,148,5.858919,0.5,2.9294595,0,1,1,0,0.0029700000000000056
149,149,5.858919,0.7,4.1012433,1,1,0,0,0.002985000000000006
150,150,5.8589199999999995,0.7,4.1012439999999994,0,0,1,0,0.003000000000000006
151,151,5.8589210000000005,0.6,3.5153526000000004,0,0,1,0,0.0030150000000000055
152,152,5.8589199999999995,0.6,3.5153519999999996,1,0,0,1,0.0030300000000000058
153,153,5.8589199999999995,0.4,2.343568,1,0,1,1,0.003045000000000006
154,154,5.8589199999999995,0.3,1.7576759999999998,1,1,1,0,0.0030600000000000063
155,155,5.8589199999999995,0.9,5.273028,0,0,1,1,0.0030750000000000057
156,156,5.858923,0.6,3.5153537999999998,0,0,0,1,0.003090000000000006
157,157,5.858922,0.7,4.1012454,1,0,1,1,0.003105000000000006
158,158,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.0031200000000000064
159,159,5.858923,0.7,4.1012461,1,0,0,1,0.003135000000000006
160,160,5.858916,0.6,3.5153496,0,0,0,0,0.003150000000000006
161,161,5.858919,0.8,4.6871352,1,1,0,0,0.0031650000000000063
162,162,5.858919,0.4,2.3435676,1,1,1,1,0.0031800000000000066
163,163,5.858918,0.6,3.5153507999999998,0,0,0,1,0.003195000000000006
164,164,5.8589210000000005,0.5,2.9294605000000002,1,0,0,0,0.0032100000000000063
165,165,5.8589199999999995,0.9,5.273028,0,0,1,0,0.0032250000000000065
166,166,5.8589199999999995,0.4,2.343568,0,0,0,1,0.0032400000000000068
167,167,5.858919,0.4,2.3435676,0,1,1,1,0.003255000000000006
168,168,5.8589210000000005,0.6,3.5153526000000004,1,1,1,0,0.0032700000000000064
169,169,5.8589210000000005,0.8,4.6871368,1,0,0,1,0.0032850000000000067
170,170,5.8589210000000005,0.3,1.7576763000000002,0,0,1,1,0.003300000000000007
171,171,5.858919,0.7,4.1012433,1,1,0,1,0.0033150000000000063
172,172,5.858924,0.9,5.2730316,1,0,0,0,0.0033300000000000066
173,173,5.858919,0.5,2.9294595,1,0,1,0,0.003345000000000007
174,174,5.858917,0.4,2.3435668,0,1,1,1,0.003360000000000007
175,175,5.8589199999999995,0.4,2.343568,0,1,0,0,0.0033750000000000065
176,176,5.858918,0.7,4.1012426,1,0,1,0,0.0033900000000000067
177,177,5.8589199999999995,0.5,2.9294599999999997,1,0,1,1,0.003405000000000007
178,178,5.8589210000000005,0.8,4.6871368,0,1,0,1,0.0034200000000000072
179,179,5.8589199999999995,0.5,2.9294599999999997,0,0,1,1,0.0034350000000000066
180,180,5.858918,0.5,2.929459,0,1,0,0,0.003450000000000007
181,181,5.8589210000000005,0.5,2.9294605000000002,0,1,0,0,0.003465000000000007
182,182,5.858918,0.4,2.3435672000000003,0,1,0,0,0.0034800000000000074
183,183,5.858918,0.7,4.1012426,0,0,1,0,0.0034950000000000068
184,184,5.858918,0.4,2.3435672000000003,1,0,0,0,0.003510000000000007
185,185,5.858922,0.5,2.929461,0,0,0,0,0.0035250000000000073
186,186,5.858919,0.5,2.9294595,1,0,1,0,0.0035400000000000076
187,187,5.858923,0.8,4.6871384,0,1,0,1,0.003555000000000007
188,188,5.858919,0.8,4.6871352,1,0,0,1,0.003570000000000007
189,189,5.8589199999999995,0.7,4.1012439999999994,0,0,1,1,0.0035850000000000075
190,190,5.8589199999999995,0.7,4.1012439999999994,1,0,1,1,0.0036000000000000077
191,191,5.8589199999999995,0.4,2.343568,1,0,1,1,0.003615000000000007
192,192,5.8589199999999995,0.8,4.687136,0,0,1,0,0.0036300000000000074
193,193,5.8589199999999995,0.7,4.1012439999999994,1,0,0,1,0.0036450000000000076
194,194,5.8589199999999995,0.4,2.343568,0,0,1,1,0.003660000000000008
195,195,5.858919,0.6,3.5153514,0,0,1,1,0.0036750000000000073
196,196,5.8589199999999995,0.6,3.5153519999999996,1,0,1,1,0.0036900000000000075
197,197,5.8589210000000005,0.5,2.9294605000000002,1,1,1,0,0.0037050000000000078
198,198,5.8589210000000005,0.7,4.1012447000000005,1,0,0,1,0.003720000000000008
199,199,5.8589199999999995,0.5,2.9294599999999997,0,0,0,1,0.0037350000000000074
