,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,electron_init
0,0,5.856920199999999,0.53,3.1041677059999997,1,1,1,1,1000.0
1,1,5.8574189,0.6,3.51445134,1,0,1,1,1250.0
2,2,5.8579205000000005,0.69,4.041965145,0,1,0,0,1500.0
3,3,5.85842,0.71,4.1594782,0,0,1,0,1750.0
4,4,5.8589197,0.69,4.042654593,0,0,0,1,2000.0
5,5,5.8594202,0.64,3.750028928,1,1,0,1,2250.0
6,6,5.8599212,0.66,3.867547992,1,0,0,0,2500.0
7,7,5.860419,0.61,3.5748555900000003,1,1,0,1,2750.0
8,8,5.8609195,0.65,3.809597675,1,1,0,0,3000.0
9,9,5.8614197,0.65,3.8099228050000002,1,0,1,1,3250.0
10,10,5.8619201,0.67,3.927486467,1,1,1,0,3500.0
11,11,5.862419099999999,0.61,3.5760756509999996,1,1,1,1,3750.0
12,12,5.8629207,0.64,3.752269248,1,0,1,0,4000.0
13,13,5.8634195,0.58,3.4007833099999996,1,0,1,1,4250.0
14,14,5.8639206999999995,0.67,3.928826869,0,0,0,1,4500.0
15,15,5.8644191,0.59,3.4600072689999997,0,0,1,1,4750.0
