,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,single_qubit_gate_depolar_prob
0,0,12.3192,0.64,7.884288000000001,0,0,1,0,0.0075
1,1,12.3192,0.61,7.514712,0,0,0,0,0.009
2,2,12.3192,0.64,7.884288000000001,1,0,0,1,0.010499999999999999
3,3,12.3192,0.68,8.377056000000001,1,0,1,1,0.011999999999999999
4,4,12.3192,0.66,8.130672,1,1,1,0,0.013499999999999998
5,5,12.3192,0.66,8.130672,1,1,1,0,0.014999999999999998
6,6,12.3192,0.7,8.62344,1,0,1,0,0.016499999999999997
7,7,12.3192,0.6,7.39152,0,0,1,0,0.017999999999999995
8,8,12.3192,0.68,8.377056000000001,0,0,1,0,0.019499999999999997
9,9,12.3192,0.67,8.253864,1,1,0,1,0.020999999999999998
10,10,12.3192,0.67,8.253864,0,0,1,0,0.022499999999999996
11,11,12.3192,0.71,8.746632,1,1,0,0,0.023999999999999994
12,12,12.3192,0.63,7.761096,0,1,0,1,0.025499999999999995
13,13,12.3192,0.63,7.761096,0,0,0,0,0.026999999999999996
14,14,12.3192,0.61,7.514712,1,0,1,1,0.028499999999999994
15,15,12.3192,0.67,8.253864,1,1,1,0,0.029999999999999992
16,16,12.3192,0.64,7.884288000000001,1,0,0,0,0.03149999999999999
17,17,12.3192,0.63,7.761096,0,0,1,0,0.032999999999999995
18,18,12.3192,0.73,8.993016,0,1,0,1,0.03449999999999999
19,19,12.3192,0.58,7.145136,1,0,0,1,0.03599999999999999
