,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,single_qubit_gate_depolar_prob
0,0,12.319199999999999,0.8,9.85536,1,0,1,1,0.0075
1,1,12.319199999999999,0.8,9.85536,0,0,1,1,0.00765
2,2,12.319199999999999,0.8,9.85536,1,0,0,0,0.0078
3,3,12.319199999999999,0.8,9.85536,1,0,1,0,0.007949999999999999
4,4,12.319199999999999,0.5,6.159599999999999,1,0,0,0,0.0081
5,5,12.319199999999999,0.7,8.623439999999999,0,0,1,1,0.00825
6,6,12.319199999999999,0.7,8.623439999999999,0,0,1,1,0.0084
7,7,12.319199999999999,0.8,9.85536,0,0,1,1,0.008549999999999999
8,8,12.319199999999999,0.6,7.391519999999999,1,1,1,1,0.0087
9,9,12.319199999999999,0.6,7.391519999999999,1,0,0,1,0.00885
10,10,12.319199999999999,0.9,11.08728,1,1,1,0,0.009
11,11,12.319199999999999,0.5,6.159599999999999,1,0,1,0,0.009149999999999998
12,12,12.319199999999999,0.8,9.85536,0,0,1,1,0.0093
13,13,12.319199999999999,0.6,7.391519999999999,0,1,0,0,0.00945
14,14,12.319199999999999,0.5,6.159599999999999,0,0,1,1,0.0096
15,15,12.319199999999999,0.8,9.85536,1,0,1,0,0.009749999999999998
16,16,12.319199999999999,0.5,6.159599999999999,1,1,1,1,0.009899999999999999
17,17,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.01005
18,18,12.319199999999999,0.5,6.159599999999999,0,0,1,1,0.010199999999999999
19,19,12.319199999999999,0.6,7.391519999999999,1,0,0,1,0.010349999999999998
20,20,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.010499999999999999
21,21,12.319199999999999,0.6,7.391519999999999,0,0,0,0,0.01065
22,22,12.319199999999999,0.8,9.85536,1,1,0,1,0.010799999999999999
23,23,12.319199999999999,0.9,11.08728,1,0,0,0,0.010949999999999998
24,24,12.319199999999999,0.7,8.623439999999999,0,0,0,0,0.011099999999999999
25,25,12.319199999999999,0.8,9.85536,0,1,1,1,0.01125
26,26,12.319199999999999,0.8,9.85536,1,1,0,1,0.011399999999999999
27,27,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.011549999999999998
28,28,12.319199999999999,0.8,9.85536,1,0,0,1,0.011699999999999999
29,29,12.319199999999999,0.8,9.85536,1,0,1,0,0.01185
30,30,12.319199999999999,0.9,11.08728,1,0,1,1,0.011999999999999999
31,31,12.319199999999999,0.5,6.159599999999999,0,1,1,0,0.012149999999999998
32,32,12.319199999999999,0.6,7.391519999999999,1,1,1,1,0.012299999999999998
33,33,12.319199999999999,0.5,6.159599999999999,0,0,1,0,0.01245
34,34,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.012599999999999998
35,35,12.319199999999999,0.8,9.85536,0,1,0,0,0.012749999999999997
36,36,12.319199999999999,0.7,8.623439999999999,0,0,1,0,0.012899999999999998
37,37,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.013049999999999999
38,38,12.319199999999999,0.6,7.391519999999999,1,0,0,1,0.013199999999999998
39,39,12.319199999999999,0.7,8.623439999999999,0,0,1,0,0.013349999999999997
40,40,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.013499999999999998
41,41,12.319199999999999,0.5,6.159599999999999,0,0,1,1,0.013649999999999999
42,42,12.319199999999999,0.5,6.159599999999999,0,1,1,0,0.013799999999999998
43,43,12.319199999999999,0.6,7.391519999999999,1,1,1,0,0.013949999999999997
44,44,12.319199999999999,0.7,8.623439999999999,0,0,0,0,0.014099999999999998
45,45,12.319199999999999,0.9,11.08728,0,0,0,1,0.014249999999999999
46,46,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.014399999999999998
47,47,12.319199999999999,0.6,7.391519999999999,1,0,0,0,0.014549999999999997
48,48,12.319199999999999,0.8,9.85536,1,1,1,1,0.014699999999999998
49,49,12.319199999999999,0.8,9.85536,0,0,1,1,0.014849999999999999
50,50,12.319199999999999,0.6,7.391519999999999,1,1,1,0,0.014999999999999998
51,51,12.319199999999999,0.8,9.85536,1,0,0,1,0.015149999999999997
52,52,12.319199999999999,0.7,8.623439999999999,1,0,1,1,0.015299999999999998
53,53,12.319199999999999,0.8,9.85536,0,0,1,1,0.015449999999999998
54,54,12.319199999999999,0.6,7.391519999999999,1,0,0,0,0.015599999999999998
55,55,12.319199999999999,0.4,4.92768,1,1,0,1,0.015749999999999997
56,56,12.319199999999999,0.5,6.159599999999999,1,1,1,1,0.015899999999999997
57,57,12.319199999999999,0.8,9.85536,1,0,1,1,0.01605
58,58,12.319199999999999,0.5,6.159599999999999,1,0,0,0,0.0162
59,59,12.319199999999999,0.8,9.85536,1,0,0,1,0.016349999999999996
60,60,12.319199999999999,0.8,9.85536,0,0,1,1,0.016499999999999997
61,61,12.319199999999999,0.5,6.159599999999999,0,0,0,0,0.016649999999999998
62,62,12.319199999999999,0.7,8.623439999999999,0,0,1,0,0.016799999999999995
63,63,12.319199999999999,0.6,7.391519999999999,0,0,1,0,0.016949999999999996
64,64,12.319199999999999,0.4,4.92768,0,0,0,1,0.017099999999999997
65,65,12.319199999999999,0.5,6.159599999999999,1,1,1,0,0.017249999999999998
66,66,12.319199999999999,0.4,4.92768,1,0,0,0,0.0174
67,67,12.319199999999999,0.8,9.85536,0,0,1,0,0.017549999999999996
68,68,12.319199999999999,0.9,11.08728,1,0,0,1,0.017699999999999997
69,69,12.319199999999999,0.6,7.391519999999999,0,0,0,1,0.017849999999999998
70,70,12.319199999999999,0.7,8.623439999999999,1,0,0,1,0.017999999999999995
71,71,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.018149999999999996
72,72,12.319199999999999,0.3,3.6957599999999995,1,0,0,0,0.018299999999999997
73,73,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.018449999999999998
74,74,12.319199999999999,0.7,8.623439999999999,0,1,1,1,0.0186
75,75,12.319199999999999,0.4,4.92768,0,1,1,1,0.018749999999999996
76,76,12.319199999999999,0.4,4.92768,1,0,1,1,0.018899999999999997
77,77,12.319199999999999,0.5,6.159599999999999,1,1,1,0,0.019049999999999997
78,78,12.319199999999999,0.5,6.159599999999999,0,1,0,1,0.019199999999999995
79,79,12.319199999999999,0.8,9.85536,0,0,0,1,0.019349999999999996
80,80,12.319199999999999,0.6,7.391519999999999,0,0,0,1,0.019499999999999997
81,81,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.019649999999999997
82,82,12.319199999999999,0.5,6.159599999999999,1,0,1,1,0.019799999999999998
83,83,12.319199999999999,0.9,11.08728,0,0,1,1,0.019949999999999996
84,84,12.319199999999999,0.7,8.623439999999999,0,1,0,0,0.020099999999999996
85,85,12.319199999999999,0.5,6.159599999999999,0,0,1,0,0.020249999999999997
86,86,12.319199999999999,0.6,7.391519999999999,1,0,0,0,0.020399999999999995
87,87,12.319199999999999,0.7,8.623439999999999,0,1,1,0,0.020549999999999995
88,88,12.319199999999999,0.8,9.85536,0,0,1,0,0.020699999999999996
89,89,12.319199999999999,0.6,7.391519999999999,0,0,0,1,0.020849999999999997
90,90,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.020999999999999998
91,91,12.319199999999999,0.8,9.85536,0,0,0,0,0.021149999999999995
92,92,12.319199999999999,0.5,6.159599999999999,1,0,1,1,0.021299999999999996
93,93,12.319199999999999,0.5,6.159599999999999,1,0,0,0,0.021449999999999997
94,94,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.021599999999999994
95,95,12.319199999999999,0.7,8.623439999999999,1,1,0,1,0.021749999999999995
96,96,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.021899999999999996
97,97,12.319199999999999,0.6,7.391519999999999,1,0,1,1,0.022049999999999997
98,98,12.319199999999999,0.5,6.159599999999999,0,0,0,0,0.022199999999999998
99,99,12.319199999999999,0.7,8.623439999999999,1,0,0,1,0.022349999999999995
100,100,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.022499999999999996
101,101,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.022649999999999997
102,102,12.319199999999999,0.3,3.6957599999999995,1,0,0,0,0.022799999999999994
103,103,12.319199999999999,0.5,6.159599999999999,1,0,1,0,0.022949999999999995
104,104,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.023099999999999996
105,105,12.319199999999999,0.7,8.623439999999999,0,0,1,0,0.023249999999999996
106,106,12.319199999999999,0.6,7.391519999999999,0,0,0,0,0.023399999999999997
107,107,12.319199999999999,0.7,8.623439999999999,1,1,1,1,0.023549999999999995
108,108,12.319199999999999,0.8,9.85536,1,0,0,0,0.023699999999999995
109,109,12.319199999999999,0.5,6.159599999999999,1,0,0,0,0.023849999999999996
110,110,12.319199999999999,0.7,8.623439999999999,1,0,1,1,0.023999999999999994
