,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,measure
0,0,5.8505198,0.63,3.685827474,0,0,1,0,1600.0
1,1,5.8521194,0.75,4.3890895500000005,1,0,1,1,2000.0
2,2,5.8537206,0.7,4.09760442,0,0,1,0,2400.0
3,3,5.8553195,0.63,3.688851285,0,1,0,1,2800.0
4,4,5.856919,0.59,3.45558221,1,0,0,1,3200.0
5,5,5.858518299999999,0.63,3.6908665289999996,0,0,1,0,3600.0
6,6,5.8601206999999995,0.62,3.633274834,0,0,1,0,4000.0
7,7,5.861719900000001,0.7,4.10320393,0,0,1,0,4400.0
8,8,5.8633195,0.61,3.576624895,0,0,1,0,4800.0
9,9,5.8649202,0.63,3.694899726,1,0,0,1,5200.0
10,10,5.86652,0.68,3.9892336000000004,1,0,0,0,5600.0
11,11,5.868119699999999,0.71,4.166364987,1,0,0,0,6000.0
12,12,5.8697199,0.59,3.4631347409999997,1,0,1,1,6400.0
13,13,5.8713199,0.62,3.640218338,0,0,0,1,6800.0
14,14,5.8729199,0.62,3.641210338,1,0,1,1,7200.0
15,15,5.874519800000001,0.67,3.935928266000001,1,1,1,1,7600.0
